Date,SPL_OUT,FKC_OUT,MC_OUT,SJR_OUT,M_IN,MIL_EVAP
1/1/2018,0,277,0,380,802,6.19
1/2/2018,0,277,0,380,762,10.36
1/3/2018,0,277,0,380,806,5.68
1/4/2018,0,277,0,389,771,10.33
1/5/2018,0,277,0,395,583,-0.03
1/6/2018,0,277,0,395,494,10.84
1/7/2018,0,92,0,395,458,6.04
1/8/2018,0,0,0,395,639,18.88
1/9/2018,0,185,0,386,788,10.01
1/10/2018,0,277,0,375,662,12.68
1/11/2018,0,277,0,375,704,4.17
1/12/2018,0,277,0,375,696,0.54
1/13/2018,0,278,0,382,898,3.04
1/14/2018,0,278,0,385,904,2.68
1/15/2018,0,278,0,385,765,1.18
1/16/2018,0,278,0,397,776,3.55
1/17/2018,0,128,0,406,1016,1.08
1/18/2018,0,0,0,406,1245,9.06
1/19/2018,0,116,0,406,1130,4.85
1/20/2018,0,280,0,406,1193,9.01
1/21/2018,0,280,0,406,695,0.01
1/22/2018,0,280,0,406,987,6.02
1/23/2018,0,94,0,406,988,7.36
1/24/2018,0,141,0,406,1056,9.34
1/25/2018,0,282,0,406,1323,8.66
1/26/2018,0,82,0,406,1083,7.66
1/27/2018,0,0,0,406,1303,8.13
1/28/2018,0,0,0,406,1065,8.99
1/29/2018,0,189,0,406,909,9.83
1/30/2018,0,284,0,406,903,8.14
1/31/2018,0,284,0,418,1117,8.99
2/1/2018,0,322,0,425,939,13.33
2/2/2018,0,391,0,425,911,9.54
2/3/2018,0,474,0,526,582,9.20
2/4/2018,0,576,0,575,713,12.57
2/5/2018,0,860,0,575,593,12.36
2/6/2018,0,1014,0,475,551,13.19
2/7/2018,0,964,0,425,715,10.00
2/8/2018,0,1083,0,425,672,11.64
2/9/2018,0,1075,0,425,588,18.11
2/10/2018,0,1112,0,425,394,13.90
2/11/2018,0,1247,0,425,429,9.16
2/12/2018,0,1307,0,424,451,9.13
2/13/2018,0,1299,0,424,386,12.79
2/14/2018,0,1262,0,374,344,9.62
2/15/2018,0,1067,0,350,384,14.30
2/16/2018,0,901,0,350,323,19.02
2/17/2018,0,395,0,350,158,15.84
2/18/2018,0,464,0,350,245,5.32
2/19/2018,0,678,0,350,390,5.49
2/20/2018,0,825,0,450,193,-129.85
2/21/2018,0,855,141,500,127,9.91
2/22/2018,0,768,0,490,191,13.68
2/23/2018,0,642,0,369,217,11.53
2/24/2018,0,553,0,300,196,12.38
2/25/2018,0,553,0,300,216,7.42
2/26/2018,0,553,0,300,326,11.15
2/27/2018,0,385,0,300,316,11.36
2/28/2018,0,265,0,300,292,31.83
3/1/2018,0,94,0,313,401,15.29
3/2/2018,0,0,0,320,1209,27.21
3/3/2018,0,0,0,307,1461,1.00
3/4/2018,0,0,0,300,664,5.47
3/5/2018,0,0,0,300,612,0.93
3/6/2018,0,0,0,300,551,32.87
3/7/2018,0,0,0,300,775,15.26
3/8/2018,0,0,0,300,527,14.22
3/9/2018,0,0,0,300,410,2.09
3/10/2018,0,0,0,300,533,11.92
3/11/2018,0,0,0,300,504,10.03
3/12/2018,0,0,0,300,368,17.08
3/13/2018,0,168,0,300,658,8.53
3/14/2018,0,187,0,300,1037,9.56
3/15/2018,0,0,0,300,968,12.73
3/16/2018,0,0,0,300,952,10.35
3/17/2018,0,0,0,300,874,13.30
3/18/2018,0,0,0,300,762,13.63
3/19/2018,0,0,0,300,723,13.51
3/20/2018,0,0,0,300,918,20.21
3/21/2018,0,0,0,300,1870,25.28
3/22/2018,0,0,0,245,11492,11.80
3/23/2018,0,0,0,132,8276,12.55
3/24/2018,0,122,0,280,3011,14.03
3/25/2018,0,293,0,300,1996,18.15
3/26/2018,0,516,0,300,1846,23.71
3/27/2018,0,775,0,300,1922,15.64
3/28/2018,0,890,0,333,2130,23.20
3/29/2018,0,920,0,350,2057,23.15
3/30/2018,0,838,0,350,2405,19.19
3/31/2018,0,779,0,350,2216,25.25
4/1/2018,0,858,0,350,2113,21.65
4/2/2018,0,1192,0,350,2273,18.85
4/3/2018,0,1344,0,350,2035,10.48
4/4/2018,0,1320,0,662,1391,28.78
4/5/2018,0,1199,0,471,1849,13.62
4/6/2018,0,915,0,367,2674,4648.70
4/7/2018,0,597,59,350,11398,19.18
4/8/2018,0,918,72,350,15194,33.99
4/9/2018,0,1416,135,350,8776,10.33
4/10/2018,0,2375,331,350,6839,11.12
4/11/2018,0,2818,635,350,5737,20.08
4/12/2018,0,3077,757,351,5286,25.55
4/13/2018,0,3029,756,351,4279,20.48
4/14/2018,0,2851,771,350,3875,37.86
4/15/2018,0,2976,804,350,3886,20.40
4/16/2018,0,3216,814,350,3930,14.48
4/17/2018,0,3358,789,350,3971,16.82
4/18/2018,0,3486,803,350,3529,14.78
4/19/2018,0,3663,814,350,3720,30.40
4/20/2018,0,3608,814,366,3442,53.90
4/21/2018,0,3527,811,380,3215,77.25
4/22/2018,0,3694,825,380,2411,30.60
4/23/2018,0,3907,895,380,3812,34.12
4/24/2018,0,4139,1003,380,4455,36.57
4/25/2018,0,4246,1024,380,4774,31.98
4/26/2018,0,4219,1038,380,5190,32.41
4/27/2018,0,3896,1067,380,5147,31.13
4/28/2018,0,3516,1016,380,5354,44.03
4/29/2018,0,3295,907,380,4626,10.28
4/30/2018,0,3326,922,391,4193,24.91
5/1/2018,0,3464,1004,398,3028,36.17
5/2/2018,0,3440,1044,397,3447,41.22
5/3/2018,0,3400,1040,392,2914,23.72
5/4/2018,0,3259,993,390,3008,33.39
5/5/2018,0,3040,941,390,3332,37.17
5/6/2018,0,3244,889,372,3315,39.22
5/7/2018,0,3657,908,360,3610,38.44
5/8/2018,0,3891,949,360,4462,37.00
5/9/2018,0,3803,961,373,4753,36.48
5/10/2018,0,2917,918,380,4983,43.70
5/11/2018,0,1903,863,380,5166,39.81
5/12/2018,0,1052,810,394,4439,36.27
5/13/2018,0,1116,755,400,4032,36.22
5/14/2018,0,1413,755,401,3731,29.77
5/15/2018,0,1579,735,400,3803,35.23
5/16/2018,0,1629,725,390,3843,36.71
5/17/2018,0,1601,725,385,3451,29.21
5/18/2018,0,1477,692,385,3468,46.42
5/19/2018,0,1173,629,385,3397,37.47
5/20/2018,0,1287,594,385,3399,31.85
5/21/2018,0,1757,581,385,3260,40.46
5/22/2018,0,2006,606,385,3106,42.96
5/23/2018,0,2071,671,385,3239,37.61
5/24/2018,0,2091,747,385,3008,27.15
5/25/2018,0,1796,767,385,4169,37.49
5/26/2018,0,1428,711,385,3897,33.56
5/27/2018,0,1306,645,385,2970,43.15
5/28/2018,0,1579,661,385,2714,60.75
5/29/2018,0,1617,754,385,3094,48.93
5/30/2018,0,1616,761,385,3065,36.59
5/31/2018,0,1643,749,385,3229,36.00
6/1/2018,0,1439,749,385,3399,48.47
6/2/2018,0,1071,725,385,3507,57.16
6/3/2018,0,1154,691,385,3361,68.64
6/4/2018,0,1382,691,385,3181,69.54
6/5/2018,0,1589,706,385,3053,46.94
6/6/2018,0,1705,721,385,3232,41.95
6/7/2018,0,1705,717,385,2919,50.90
6/8/2018,0,1576,726,385,2996,58.64
6/9/2018,0,1132,701,385,3475,46.12
6/10/2018,0,1051,675,385,2933,60.71
6/11/2018,0,1535,685,392,2955,51.19
6/12/2018,0,1785,713,395,3228,59.19
6/13/2018,0,1837,749,395,3324,103.76
6/14/2018,0,1738,777,395,2446,79.97
6/15/2018,0,1510,804,395,2436,35.30
6/16/2018,0,1084,793,395,2213,42.45
6/17/2018,0,1203,750,395,2461,44.75
6/18/2018,0,1507,735,401,2782,46.89
6/19/2018,0,1777,769,410,2838,52.75
6/20/2018,0,1964,783,410,2458,89.90
6/21/2018,0,1932,802,410,1801,53.92
6/22/2018,0,1651,791,410,1831,60.53
6/23/2018,0,1299,776,410,1821,61.28
6/24/2018,0,1416,785,420,1867,62.41
6/25/2018,0,1779,772,425,1784,57.47
6/26/2018,0,1977,775,425,1730,52.88
6/27/2018,0,1994,811,424,1667,39.56
6/28/2018,0,1967,833,424,1565,46.74
6/29/2018,0,1638,811,424,1503,49.83
6/30/2018,0,1430,801,424,1701,53.67
7/1/2018,0,1745,794,424,1791,53.76
7/2/2018,0,2303,783,424,1843,45.86
7/3/2018,0,2552,783,424,1890,50.54
7/4/2018,0,2752,776,424,1763,53.59
7/5/2018,0,3174,795,424,1839,59.12
7/6/2018,0,2964,825,423,1902,-1171.98
7/7/2018,0,3968,808,422,2112,63.45
7/8/2018,0,2876,784,423,1980,70.62
7/9/2018,0,3005,784,432,1923,48.12
7/10/2018,0,3002,782,445,1967,49.47
7/11/2018,0,2945,795,445,2004,48.50
7/12/2018,0,2843,816,444,1978,54.31
7/13/2018,0,2535,814,444,1878,54.10
7/14/2018,0,2228,810,443,1954,54.98
7/15/2018,0,2453,794,444,1938,54.48
7/16/2018,0,2829,768,444,1985,49.20
7/17/2018,0,2621,781,444,1757,41.50
7/18/2018,0,2665,804,443,2324,46.76
7/19/2018,0,2786,826,443,2501,56.38
7/20/2018,0,2519,839,443,2183,50.63
7/21/2018,0,2262,801,443,2032,55.23
7/22/2018,0,2461,766,443,2068,43.33
7/23/2018,0,2772,756,443,2949,49.98
7/24/2018,0,2795,765,438,2844,38.09
7/25/2018,0,2810,782,435,2968,85.63
7/26/2018,0,2852,797,435,3253,48.42
7/27/2018,0,2424,818,435,2953,37.58
7/28/2018,0,2452,776,435,2908,43.35
7/29/2018,0,2771,683,435,2805,33.01
7/30/2018,0,2986,580,435,2947,45.15
7/31/2018,0,3050,475,435,3023,48.61
8/1/2018,0,3095,486,435,2361,58.31
8/2/2018,0,3033,510,434,2187,46.40
8/3/2018,0,2635,462,434,2202,46.61
8/4/2018,0,2268,430,434,1717,39.68
8/5/2018,0,2348,449,434,1740,33.59
8/6/2018,0,2705,410,434,1699,33.12
8/7/2018,0,2319,378,435,1822,44.63
8/8/2018,0,2344,389,435,2233,37.18
8/9/2018,0,2549,389,434,2060,37.40
8/10/2018,0,2262,389,434,1686,36.07
8/11/2018,0,1992,350,434,1475,37.25
8/12/2018,0,2031,295,434,1500,39.51
8/13/2018,0,2207,295,434,1647,40.97
8/14/2018,0,2335,295,434,1599,35.55
8/15/2018,0,2383,295,434,1451,41.21
8/16/2018,0,2362,299,444,1551,37.63
8/17/2018,0,1950,304,456,1344,47.46
8/18/2018,0,1284,294,456,1364,41.57
8/19/2018,0,1017,280,456,1366,38.48
8/20/2018,0,1208,293,456,1638,25.09
8/21/2018,0,1412,300,456,1337,29.56
8/22/2018,0,1369,298,454,1299,33.11
8/23/2018,0,1310,303,454,1303,26.26
8/24/2018,0,1119,281,454,1246,27.26
8/25/2018,0,731,272,438,1257,29.91
8/26/2018,0,702,272,429,1204,30.28
8/27/2018,0,994,253,429,1372,24.24
8/28/2018,0,1672,252,430,1625,27.18
8/29/2018,0,1459,270,430,1138,26.85
8/30/2018,0,1497,243,430,1189,25.97
8/31/2018,0,1222,257,430,1033,25.87
9/1/2018,0,872,252,430,1114,29.30
9/2/2018,0,836,72,430,1212,32.23
9/3/2018,0,960,0,430,1336,29.09
9/4/2018,0,1128,0,430,1276,34.52
9/5/2018,0,1341,0,430,1564,29.73
9/6/2018,0,1325,0,430,1457,33.81
9/7/2018,0,1118,0,429,1546,36.95
9/8/2018,0,825,0,430,1603,34.24
9/9/2018,0,804,0,430,1665,33.67
9/10/2018,0,1020,0,430,1587,33.39
9/11/2018,0,1120,0,430,1963,38.88
9/12/2018,0,1157,0,430,1281,27.87
9/13/2018,0,1198,0,430,1069,23.95
9/14/2018,0,1032,0,430,1555,28.95
9/15/2018,0,714,0,430,1121,21.51
9/16/2018,0,749,0,430,838,24.62
9/17/2018,0,968,0,429,925,21.56
9/18/2018,0,1133,0,429,1155,29.44
