,Date,SPL_OUT,FKC_OUT,MC_OUT,SJR_OUT,M_IN,TCD_OUT,MIL_EVAP
0,2022-03-01,0.0,2.04,0.0,9.91088,28.77,0.0,1.71
1,2022-03-02,0.0,2.04,0.0,9.91088,32.68,0.0,0.53
2,2022-03-03,0.0,2.18,0.0,9.91088,43.66,0.0,0.21
3,2022-03-04,0.0,1.64,0.0,9.91088,15.43,0.0,0.08
4,2022-03-05,0.0,1.93,0.0,9.91088,30.53,0.0,0.64
5,2022-03-06,0.0,1.39,0.0,9.91088,45.67,0.0,0.43
6,2022-03-07,0.0,2.97,0.0,9.91088,48.76,0.0,0.52
7,2022-03-08,0.0,1.81,0.0,9.91088,47.57,0.0,0.76
8,2022-03-09,0.0,3.0,0.0,9.91088,46.1,0.0,0.16
9,2022-03-10,0.0,0.0,0.0,9.91088,40.12,0.0,1.41
10,2022-03-11,0.0,0.0,0.0,9.91088,40.41,0.0,0.52
11,2022-03-12,0.0,0.0,0.0,9.91088,44.6,0.0,0.6
12,2022-03-13,0.0,0.0,0.0,9.91088,36.81,0.0,0.45
13,2022-03-14,0.0,2.38,0.0,9.91088,38.62,0.0,0.55
14,2022-03-15,0.0,2.86,0.0,9.91088,34.86,0.0,0.48
15,2022-03-16,0.0,2.83,0.0,9.91088,23.22,0.0,0.76
16,2022-03-17,0.0,3.31,0.0,9.91088,37.94,0.0,0.55
17,2022-03-18,0.0,2.83,0.0,9.91088,41.91,0.0,0.29
18,2022-03-19,0.0,2.83,0.0,9.91088,56.29,0.0,0.41
19,2022-03-20,0.0,2.83,0.0,9.91088,44.03,0.0,0.5
20,2022-03-21,0.0,3.74,0.0,9.91088,31.8,0.0,0.68
21,2022-03-22,0.0,4.22,0.0,9.91088,30.21,0.0,1.1
22,2022-03-23,0.0,4.22,0.0,9.91088,50.55,0.0,0.25
23,2022-03-24,0.0,4.67,0.0,9.91088,46.1,0.0,0.97
24,2022-03-25,0.0,4.67,0.0,9.91088,51.56,0.0,0.69
25,2022-03-26,0.0,4.67,0.0,9.91088,46.95,0.0,1.05
26,2022-03-27,0.0,4.64,0.0,9.91088,28.49,0.0,0.21
27,2022-03-28,0.0,4.64,0.0,9.91088,48.37,0.0,0.45
28,2022-03-29,0.0,3.71,0.0,9.91088,49.75,0.0,0.49
29,2022-03-30,0.0,3.23,0.0,9.91088,72.97,0.0,0.3
30,2022-03-31,0.0,2.78,0.0,9.91088,71.61,0.0,0.53
31,2022-04-01,0.0,3.68,0.0,9.91088,78.81,0.0,0.74
32,2022-04-02,0.0,3.68,0.0,9.91088,70.99,0.0,0.69
33,2022-04-03,0.0,3.65,0.0,9.91088,67.37,0.0,0.79
34,2022-04-04,0.0,5.49,0.0,9.91088,72.12,0.0,0.99
35,2022-04-05,0.0,5.92,0.0,9.91088,65.69,0.0,0.73
36,2022-04-06,0.0,6.63,0.0,9.91088,65.47,0.0,1.2
37,2022-04-07,0.0,7.36,0.0,9.91088,70.57,0.0,1.26
38,2022-04-08,0.0,5.47,0.0,9.91088,68.84,0.0,1.37
39,2022-04-09,0.0,4.5,0.0,9.91088,64.9,0.0,0.94
40,2022-04-10,0.0,4.47,0.0,9.91088,56.86,0.0,0.02
41,2022-04-11,0.0,6.48,0.0,9.91088,69.86,0.0,0.96
42,2022-04-12,0.0,6.65,0.0,9.91088,66.71,0.0,0.24
43,2022-04-13,0.0,6.65,0.0,9.91088,51.23,0.0,1.3
44,2022-04-14,0.0,5.35,0.0,9.91088,53.77,0.0,0.74
45,2022-04-15,0.0,5.35,0.0,9.91088,61.08,0.0,0.41
46,2022-04-16,0.0,3.11,0.0,9.91088,41.94,0.0,1.13
47,2022-04-17,0.0,3.11,0.0,9.91088,39.87,0.0,0.84
48,2022-04-18,0.0,3.11,0.0,9.91088,67.51,0.0,0.95
49,2022-04-19,0.0,5.78,0.0,9.91088,40.75,0.0,0.64
50,2022-04-20,0.0,6.2,0.0,9.91088,46.47,0.0,0.54
51,2022-04-21,0.0,4.45,0.0,9.91088,43.89,0.0,0.71
52,2022-04-22,0.0,3.54,0.0,9.91088,52.7,0.0,0.42
53,2022-04-23,0.0,2.21,0.0,9.91088,54.96,0.0,1.19
54,2022-04-24,0.0,3.09,0.0,9.91088,56.66,0.0,1.14
55,2022-04-25,0.0,4.42,0.0,9.91088,72.69,0.0,1.19
56,2022-04-26,0.0,4.84,0.0,9.91088,72.18,0.0,0.91
57,2022-04-27,0.0,4.42,0.0,9.91088,60.88,0.0,1.02
58,2022-04-28,0.0,3.94,0.0,9.91088,54.91,0.0,0.96
59,2022-04-29,0.0,5.24,0.0,9.91088,57.28,0.0,1.28
60,2022-04-30,0.0,5.24,0.0,9.91088,54.79,0.0,1.02
61,2022-05-01,0.0,5.24,0.0,5.66336,48.87,4.24752,1.0
62,2022-05-02,0.0,8.3,0.0,5.66336,59.38,4.24752,1.36
63,2022-05-03,0.0,10.48,0.0,5.66336,48.2,4.24752,1.49
64,2022-05-04,0.0,7.87,0.0,5.66336,62.89,4.24752,1.58
65,2022-05-05,0.0,3.91,0.0,5.66336,53.35,4.24752,1.32
66,2022-05-06,0.0,5.24,0.0,5.66336,54.76,4.24752,1.55
67,2022-05-07,0.0,5.24,0.0,5.66336,51.14,4.24752,0.86
68,2022-05-08,0.0,5.24,0.0,5.66336,43.35,4.24752,1.01
69,2022-05-09,0.0,6.97,0.0,5.66336,53.83,4.24752,1.5
70,2022-05-10,0.0,6.09,0.0,5.66336,63.83,4.24752,1.06
71,2022-05-11,0.0,6.06,0.0,5.66336,53.58,4.24752,1.16
72,2022-05-12,0.0,4.33,0.0,5.66336,68.1,4.24752,1.19
73,2022-05-13,0.0,4.33,0.0,5.66336,56.61,4.24752,1.24
74,2022-05-14,0.0,4.33,0.0,5.66336,48.59,4.24752,1.55
75,2022-05-15,0.0,4.33,0.0,5.66336,66.26,4.24752,1.45
76,2022-05-16,0.0,6.94,0.0,5.66336,67.11,4.24752,1.51
77,2022-05-17,0.0,6.88,0.0,5.66336,55.53,4.24752,0.93
78,2022-05-18,0.0,6.88,0.0,5.66336,37.55,4.24752,0.92
79,2022-05-19,0.0,6.06,0.0,5.66336,42.5,4.24752,1.31
80,2022-05-20,0.0,4.33,0.0,5.66336,40.58,4.24752,1.45
81,2022-05-21,0.0,4.33,0.0,5.66336,61.59,4.24752,1.49
82,2022-05-22,0.0,4.33,0.0,5.66336,80.22,4.24752,1.17
83,2022-05-23,0.0,8.13,0.0,5.66336,50.09,4.24752,2.24
84,2022-05-24,0.0,10.17,0.0,5.66336,42.05,4.24752,1.65
85,2022-05-25,0.0,12.83,0.0,5.66336,44.71,4.24752,1.47
86,2022-05-26,0.0,12.83,0.0,5.66336,50.29,4.24752,1.35
87,2022-05-27,0.0,8.81,0.0,5.66336,48.51,4.24752,1.32
88,2022-05-28,0.0,6.94,0.0,5.66336,44.88,4.24752,1.1
89,2022-05-29,0.0,6.06,0.0,5.66336,42.62,4.24752,1.44
90,2022-05-30,0.0,7.79,0.0,5.66336,46.41,4.24752,1.25
91,2022-05-31,0.0,14.02,0.0,5.66336,48.39,4.24752,0.96
92,2022-06-01,0.0,13.59,0.0,5.66336,54.59,4.24752,1.98
93,2022-06-02,0.0,13.34,0.0,5.66336,61.11,4.24752,1.47
94,2022-06-03,0.0,10.0,0.0,5.66336,51.51,4.24752,1.25
95,2022-06-04,0.0,5.27,0.0,5.66336,47.71,4.24752,1.37
96,2022-06-05,0.0,6.91,0.0,5.66336,48.87,4.24752,1.57
97,2022-06-06,0.0,9.54,0.0,5.66336,49.44,4.24752,1.7
98,2022-06-07,0.0,13.48,0.0,5.66336,54.65,4.24752,1.37
99,2022-06-08,0.0,14.1,0.0,5.66336,58.96,4.24752,1.55
100,2022-06-09,0.0,12.88,0.0,5.66336,61.79,4.24752,1.53
101,2022-06-10,0.0,7.39,0.0,5.66336,58.33,4.24752,2.28
102,2022-06-11,0.0,4.36,0.0,5.66336,56.61,4.24752,1.8
103,2022-06-12,0.0,6.63,0.0,5.66336,52.67,4.24752,1.68
104,2022-06-13,0.0,9.26,0.0,5.66336,52.9,4.24752,1.77
105,2022-06-14,0.0,11.75,0.0,5.66336,49.7,4.24752,1.64
106,2022-06-15,0.0,12.94,0.0,5.66336,53.18,4.24752,1.76
107,2022-06-16,0.0,11.78,0.0,5.66336,65.3,4.24752,0.9
108,2022-06-17,0.0,7.42,0.0,5.66336,45.19,4.24752,1.42
109,2022-06-18,0.0,4.36,0.0,5.66336,36.42,4.24752,1.36
110,2022-06-19,0.0,6.12,0.0,5.66336,31.91,4.24752,1.44
111,2022-06-20,0.0,13.0,0.0,5.66336,39.36,4.24752,1.81
112,2022-06-21,0.0,16.2,0.0,5.66336,39.05,4.24752,1.94
113,2022-06-22,0.0,17.81,4.73,5.66336,42.16,4.24752,1.28
114,2022-06-23,0.0,16.88,7.08,5.66336,41.23,4.24752,1.74
115,2022-06-24,0.0,12.71,7.02,5.66336,42.93,4.24752,1.71
116,2022-06-25,0.0,10.62,5.69,5.66336,38.06,4.24752,1.9
117,2022-06-26,0.0,11.36,7.31,5.66336,21.01,4.24752,1.9
118,2022-06-27,0.0,16.51,14.64,5.66336,54.45,4.24752,1.86
