Date,SPL_OUT,FKC_OUT,MC_OUT,SJR_OUT,M_IN,TCD_OUT
2024-03-01,0.0,22.795024,0.0,9.91088,53.0090496,0.0
2024-03-02,0.0,19.7651264,0.0,9.91088,85.1486176,0.0
2024-03-03,0.0,18.3492864,0.0,9.91088,79.3719904,0.0
2024-03-04,0.0,20.7845312,0.0,9.91088,60.9943872,0.0
2024-03-05,0.0,22.6817568,0.0,9.91088,46.2413344,0.0
2024-03-06,0.0,25.1736352,0.0,9.91088,48.0536096,0.0
2024-03-07,0.0,25.8249216,0.0,9.91088,43.18312,0.0
2024-03-08,0.0,20.3031456,0.0,9.91088,39.218768,0.0
2024-03-09,0.0,14.1017664,0.0,9.91088,35.3110496,0.0
2024-03-10,0.0,14.1017664,0.0,9.91088,35.112832,0.0
2024-03-11,0.0,14.1017664,0.0,9.91088,35.6508512,0.0
2024-03-12,0.0,15.9140416,0.0,9.91088,38.1710464,0.0
2024-03-13,0.0,17.1882976,0.0,9.91088,30.6387776,0.0
2024-03-14,0.0,15.3193888,0.0,9.91088,62.5518112,0.0
2024-03-15,0.0,12.6859264,0.0,9.91088,53.7452864,0.0
2024-03-16,0.0,12.6576096,0.0,9.91088,63.7128,0.0
2024-03-17,0.0,12.6576096,0.0,9.91088,66.2329952,0.0
2024-03-18,0.0,15.6875072,0.0,9.91088,74.1050656,0.0
2024-03-19,0.0,17.7263168,0.0,9.91088,71.1601184,0.0
2024-03-20,0.0,18.4908704,0.0,9.91088,82.9115904,0.0
2024-03-21,0.0,17.4431488,0.0,9.91088,79.9100096,0.0
2024-03-22,0.0,13.025728,0.0,9.91088,83.676144,0.0
2024-03-23,0.0,10.5904832,0.0,9.91088,90.0191072,0.0
2024-03-24,0.0,12.1479072,0.0,9.91088,79.8250592,0.0
2024-03-25,0.0,12.5160256,0.0,9.91088,72.9723936,0.0
2024-03-26,0.0,11.2134528,0.0,9.91088,77.3898144,0.0
2024-03-27,0.0,10.6188,0.0,9.91088,74.9545696,0.0
2024-03-28,0.0,8.7215744,0.0,9.91088,82.4585216,0.0
2024-03-29,0.0,7.7021696,0.0,9.91088,95.8806848,0.0
2024-03-30,0.0,6.7677152,0.0,9.91088,116.8917504,0.0
2024-03-31,0.0,10.4205824,0.0,9.91088,94.6913792,0.0
2024-04-01,0.0,15.291072,0.0,9.91088,92.3977184,0.0
2024-04-02,0.0,18.40592,0.0,9.91088,91.5482144,0.0
2024-04-03,0.0,22.4552224,0.0,9.91088,90.1606912,0.0
2024-04-04,0.0,20.7278976,0.0,9.91088,91.3783136,0.0
2024-04-05,0.0,16.565328,0.0,9.91088,90.8402944,0.0
2024-04-06,0.0,14.2433504,0.0,9.91088,78.012784,0.0
2024-04-07,0.0,20.0766112,0.0,9.91088,72.0096224,0.0
2024-04-08,0.0,31.8847168,5.2669248,9.91088,81.1842656,0.0
2024-04-09,0.0,39.2754016,9.1180096,9.91088,75.8040736,0.0
2024-04-10,0.0,48.1951936,14.4698848,9.91088,95.852368,0.0
2024-04-11,0.0,49.8092512,20.7562144,9.91088,104.8571104,0.0
2024-04-12,0.0,36.6136224,24.0975968,9.91088,101.0626592,0.0
2024-04-13,0.0,27.1274944,23.4179936,9.91088,96.3620704,0.0
2024-04-14,0.0,28.458384,20.6995808,9.91088,108.9347296,0.0
2024-04-15,0.0,39.3037184,19.3120576,9.91088,96.0222688,0.0
2024-04-16,0.0,44.2308416,18.972256,9.91088,94.7480128,0.0
2024-04-17,0.0,48.7898464,18.972256,9.91088,94.578112,0.0
2024-04-18,0.0,53.0090496,18.972256,9.91088,105.904832,0.0
2024-04-19,0.0,44.6555936,17.3865152,9.91088,84.2991136,0.0
2024-04-20,0.0,41.0876768,15.149488,9.91088,82.6001056,0.0
2024-04-21,0.0,51.0835072,16.5936448,9.91088,91.4349472,0.0
2024-04-22,0.0,68.8664576,19.1987904,9.91088,183.6627648,0.0
2024-04-23,0.0,75.4925888,22.0021536,9.91088,240.0131968,0.0
2024-04-24,0.0,72.8308096,24.8055168,9.91088,224.2407392,0.0
2024-04-25,0.0,66.7710144,25.5983872,9.91088,190.8835488,0.0
2024-04-26,0.0,49.4694496,23.3896768,9.91088,199.208688,0.0
2024-04-27,8.7215744,39.9833216,21.2942336,9.91088,144.2174624,0.0
2024-04-28,0.0,43.5512384,22.0021536,9.91088,147.388944,0.0
2024-04-29,0.0,55.3876608,24.7772,9.91088,168.3716928,0.0
2024-04-30,0.0,76.2854592,26.5045248,9.91088,180.1514816,0.0
2024-05-01,0.0,95.3143488,27.892048,7.0792,184.7954368,2.83168
2024-05-02,0.0,102.082064,28.4300672,7.0792,185.9281088,2.83168
2024-05-03,0.0,104.5456256,28.2035328,7.0792,161.1792256,2.83168
2024-05-04,0.0,106.0180992,26.2213568,7.0792,208.411648,2.83168
2024-05-05,1.0760384,107.9719584,26.2496736,7.0792,177.4897024,2.83168
2024-05-06,0.0,113.0406656,27.3823456,7.0792,124.9054048,2.83168
2024-05-07,3.5396,114.0883872,27.3823456,7.0792,115.2210592,2.83168
2024-05-08,18.4908704,116.382048,28.3451168,7.0792,118.4774912,2.83168
2024-05-09,17.1599808,112.8707648,29.8459072,7.0792,142.6600384,2.83168
2024-05-10,21.3508672,95.9656352,31.0352128,7.0792,126.1796608,2.83168
2024-05-11,24.210864,87.7537632,29.9308576,7.0792,142.716672,2.83168
2024-05-12,21.8888864,85.65832,29.4777888,7.0792,164.3223904,2.83168
2024-05-13,22.65344,98.0893952,31.4599648,7.0792,207.2223424,2.83168
2024-05-14,19.8783936,111.2000736,31.431648,7.0792,191.2516672,2.83168
2024-05-15,20.1615616,123.6311488,32.0546176,7.0792,228.4033088,2.83168
2024-05-16,8.2685056,144.5006304,32.5926368,7.0792,220.4179712,2.83168
2024-05-17,0.0,145.6333024,31.3183808,7.0792,201.9837344,2.83168
2024-05-18,0.0,144.8970656,30.1007584,7.0792,232.480928,2.83168
2024-05-19,0.0,184.5122688,30.6104608,7.0792,225.8831136,2.83168
2024-05-20,0.0,144.5289472,31.6298656,7.0792,219.9082688,2.83168
2024-05-21,0.0,143.566176,31.6298656,7.0792,179.3586112,2.83168
2024-05-22,0.0,144.5289472,31.6298656,7.0792,174.3182208,2.83168
2024-05-23,0.0,144.41568,31.6298656,7.0792,151.9479488,2.83168
2024-05-24,0.0,144.3024128,31.6015488,7.0792,170.4388192,2.83168
2024-05-25,0.0,139.5451904,31.1767968,7.0792,152.1461664,2.83168
2024-05-26,0.0,135.6941056,31.4882816,7.0792,145.689936,2.83168
2024-05-27,0.0,128.275104,31.9130336,7.0792,147.5871616,2.83168
2024-05-28,0.0,124.5656032,31.5449152,7.0792,155.8273504,2.83168
2024-05-29,0.0,125.5283744,31.0352128,7.0792,165.4550624,2.83168
2024-05-30,0.0,125.5283744,30.4122432,7.0792,169.8724832,2.83168
2024-05-31,0.0,125.5566912,30.015808,7.0792,195.4425536,2.83168
2024-06-01,0.0,124.6505536,30.6670944,7.0792,177.0083168,2.83168
2024-06-02,0.0,124.6788704,30.6670944,7.0792,173.2421824,2.83168
2024-06-03,0.0,124.6788704,31.1201632,7.0792,165.5966464,2.83168
2024-06-04,0.0,124.6505536,32.847488,7.0792,157.724576,2.83168
2024-06-05,0.0,124.6222368,33.27224,7.0792,164.0392224,2.83168
2024-06-06,0.0,124.6505536,32.847488,7.0792,192.2427552,2.83168
2024-06-07,0.0,103.1014688,29.6476896,7.0792,227.0441024,2.83168
2024-06-08,0.0,76.8517952,26.90096,7.0792,177.0366336,2.83168
2024-06-09,4.389104,79.6551584,27.5522464,7.0792,168.8530784,2.83168
2024-06-10,14.3849344,99.1371168,28.4867008,7.0792,190.572064,2.83168
2024-06-11,15.7724576,121.8755072,29.3362048,7.0792,172.4209952,2.83168
2024-06-12,5.6067264,138.7240032,30.4971936,7.0792,168.4566432,2.83168
2024-06-13,0.7362368,138.6390528,31.0635296,7.0792,154.2416096,2.83168
2024-06-14,0.0,136.2321248,30.4971936,7.0792,138.610736,2.83168
2024-06-15,0.0,131.3050016,29.166304,7.0792,105.1119616,2.83168
2024-06-16,0.0,135.4392544,28.1185824,7.0792,101.1759264,2.83168
2024-06-17,0.0,128.2467872,28.3168,7.0792,89.2262368,2.83168
2024-06-18,0.0,117.4864032,27.4956128,7.0792,96.8151392,2.83168
2024-06-19,0.0,114.8812576,25.4001696,7.0792,77.8145664,2.83168
2024-06-20,0.0,113.550368,24.9471008,7.0792,83.9026784,2.83168
2024-06-21,0.0,100.9777088,25.3152192,7.0792,78.2393184,2.83168
2024-06-22,0.0,80.4480288,25.2585856,7.0792,87.4705952,2.83168
2024-06-23,0.0,85.4317856,25.2585856,7.0792,88.2917824,2.83168
2024-06-24,0.0,95.0594976,24.8904672,7.0792,80.6462464,2.83168
2024-06-25,0.0,94.9179136,24.4657152,7.0792,63.5995328,2.83168
2024-06-26,0.0,95.0878144,24.8621504,7.0792,73.0290272,2.83168
2024-06-27,0.0,94.0967264,24.5223488,7.0792,73.3971456,2.83168
2024-06-28,0.0,87.5838624,24.06928,7.0792,60.1448832,2.83168
2024-06-29,0.0,75.3510048,23.502944,7.0792,69.0080416,2.83168
2024-06-30,0.0,78.5508032,24.06928,7.0792,72.2644736,2.83168
2024-07-01,0.0,101.1192928,24.8621504,7.0792,91.0951456,2.83168
2024-07-02,0.0,110.4072032,25.626704,7.0792,100.1282048,2.83168
2024-07-03,0.0,110.152352,25.9948224,7.0792,73.1422944,2.83168
2024-07-04,0.0,104.4323584,26.8443264,7.0792,78.6923872,2.83168
2024-07-05,0.0,89.3961376,27.4389792,7.0792,79.9383264,2.83168
2024-07-06,0.0,78.1826848,26.8443264,7.0792,93.5587072,2.83168
2024-07-07,0.0,91.2367296,25.5983872,7.0792,92.9640544,2.83168
2024-07-08,0.0,110.9735392,25.5983872,7.0792,79.5985248,2.83168
2024-07-09,0.0,91.2367296,25.5983872,7.0792,57.1433024,2.83168
2024-07-10,0.0,122.8099616,25.909872,7.0792,66.9125984,2.83168
2024-07-11,0.0,121.5640224,25.2585856,7.0792,49.271232,2.83168
2024-07-12,0.0,106.6410688,24.6639328,7.0792,48.5349952,2.83168
2024-07-13,0.0,87.9519808,23.0498752,7.0792,54.1983552,2.83168
2024-07-14,0.0,89.5377216,22.5401728,7.0792,57.2565696,2.83168
2024-07-15,0.0,105.3951296,22.7667072,7.0792,65.6383424,2.83168
2024-07-16,0.0,110.8319552,23.8144288,7.0792,46.0714336,2.83168
2024-07-17,0.0,114.0883872,24.5223488,7.0792,43.2680704,2.83168
2024-07-18,0.0,113.4654176,25.0886848,7.0792,53.8868704,2.83168
2024-07-19,0.0,94.9462304,24.4090816,7.0792,53.235584,2.83168
2024-07-20,0.0,67.5922016,22.2853216,7.0792,51.6215264,2.83168
2024-07-21,0.0,71.8114048,21.662352,7.0792,45.9581664,2.83168
2024-07-22,0.0,81.3541664,21.9172032,7.0792,54.4532064,2.83168
2024-07-23,0.0,84.808816,22.1720544,7.0792,61.5324064,2.83168
2024-07-24,0.0,88.3767328,22.8233408,7.0792,69.8575456,2.83168
2024-07-25,0.0,86.7060416,23.2764096,7.0792,64.42072,2.83168
2024-07-26,0.0,63.854384,22.5684896,7.0792,51.3100416,2.83168
2024-07-27,0.0,46.0714336,22.2853216,7.0792,48.5066784,2.83168
2024-07-28,0.0,51.9896448,23.4179936,7.0792,37.4348096,2.83168
2024-07-29,0.0,71.783088,23.644528,7.0792,43.18312,2.83168
2024-07-30,0.0,80.1648608,23.9843296,7.0792,41.3991616,2.83168
2024-07-31,0.0,73.4254624,24.635616,7.0792,53.9718208,2.83168
2024-08-01,0.0,64.42072,24.5506656,7.0792,56.9450848,2.83168
2024-08-02,0.0,58.3609248,23.786112,7.0792,60.4846848,2.83168
2024-08-03,0.0,46.7510368,21.520768,7.0792,43.2963872,2.83168
2024-08-04,0.0,47.996976,20.5013632,7.0792,47.3456896,2.83168
2024-08-05,0.0,62.0421088,20.5013632,7.0792,56.2371648,2.83168
2024-08-06,0.0,68.7531904,22.1720544,7.0792,50.3189536,2.83168
2024-08-07,0.0,67.7054688,22.2570048,7.0792,59.7767648,2.83168
2024-08-08,0.0,62.863296,20.6146304,7.0792,69.8858624,2.83168
2024-08-09,0.0,49.695984,20.1332448,7.0792,67.393984,2.83168
2024-08-10,0.0,34.7163968,20.1332448,7.0792,85.7149536,2.83168
2024-08-11,0.0,39.7284704,20.1332448,7.0792,71.8963552,2.83168
2024-08-12,0.0,52.102912,20.1332448,7.0792,70.1690304,2.83168
2024-08-13,0.0,50.687072,20.1332448,7.0792,68.4133888,2.83168
2024-08-14,0.0,50.7153888,20.5013632,7.0792,52.6126144,2.83168
2024-08-15,0.0,51.536576,20.5013632,7.0792,41.200944,2.83168
2024-08-16,0.0,45.165296,20.8694816,7.0792,65.411808,2.83168
2024-08-17,0.0,33.838576,19.8500768,7.0792,58.4458752,2.83168
2024-08-18,0.0,35.679168,17.5847328,7.0792,58.04944,2.83168
2024-08-19,0.0,49.271232,18.8873056,7.0792,74.9545696,2.83168
2024-08-20,0.0,54.2549888,20.6995808,7.0792,71.1034848,2.83168
2024-08-21,0.0,53.6320192,20.2181952,7.0792,71.358336,2.83168
2024-08-22,0.0,51.0551904,20.9827488,7.0792,69.942496,2.83168
2024-08-23,0.0,40.1532224,20.9827488,7.0792,51.5932096,2.83168
2024-08-24,0.0,32.56432,20.1615616,7.0792,55.3027104,2.83168
2024-08-25,0.0,36.4437216,19.0288896,7.0792,50.4322208,2.83168
2024-08-26,0.0,44.2591584,19.9067104,7.0792,59.3803296,2.83168
2024-08-27,0.0,41.1159936,19.7934432,7.0792,55.076176,2.83168
2024-08-28,0.0,39.64352,18.0944352,7.0792,58.2759744,2.83168
2024-08-29,0.0,39.218768,16.28216,7.0792,57.199936,2.83168
2024-08-30,0.0,33.4987744,15.0645376,7.0792,48.4500448,2.83168
2024-08-31,0.0,25.2585856,14.4132512,7.0792,49.979152,2.83168
2024-09-01,0.0,27.7221472,14.2433504,7.0792,51.7914272,2.83168
2024-09-02,0.0,34.4615456,11.1001856,7.0792,52.244496,2.83168
2024-09-03,0.0,38.1427296,7.6172192,7.0792,53.3205344,2.83168
2024-09-04,0.0,41.5407456,7.6172192,7.0792,71.7264544,2.83168
2024-09-05,0.0,40.209856,7.6172192,7.0792,64.279136,2.83168
2024-09-06,0.0,33.696992,8.6083072,7.0792,75.9739744,2.83168
2024-09-07,0.0,26.8443264,8.6932576,7.0792,80.3913952,2.83168
2024-09-08,0.0,24.7205664,8.0136544,7.0792,88.0935648,2.83168
2024-09-09,0.0,34.4332288,8.4100896,7.0792,76.2005088,2.83168
2024-09-10,0.0,39.218768,8.8914752,7.0792,53.3205344,2.83168
2024-09-11,0.0,37.51976,9.5144448,7.0792,35.1411488,2.83168
2024-09-12,0.0,33.3288736,9.5144448,7.0792,34.2916448,2.83168
2024-09-13,0.0,25.5700704,8.636624,7.0792,32.281152,2.83168
2024-09-14,0.0,17.0183968,4.5590048,7.0792,37.3498592,2.83168
2024-09-15,0.0,18.4908704,2.9166304,7.0792,35.4809504,2.83168
