Flow,SJR_OUT_cms,TCD Max Diversion_cms,SJR_OUT_cfs,TCD Max Diversion+cfs,May_Sept_Baseflow_cfs,,TCD Timing
1,5.10,1.42,180,50,230,,5/1 to 9/30
2,8.50,1.42,300,50,350,,
3,11.33,1.42,400,50,450,,Mar_May_Baseflow
4,3.68,2.83,130,100,230,,350
5,7.08,2.83,250,100,350,,
6,9.91,2.83,350,100,450,,
7,2.27,4.25,80,150,230,,
8,5.66,4.25,200,150,350,,
9,8.50,4.25,300,150,450,,
10,0.85,5.66,30,200,230,,
11,4.25,5.66,150,200,350,,
12,7.08,5.66,250,200,450,,
0_1,6.51,0.00,230,0,230,,
0_2,9.91,0.00,350,0,350,,
0_3,12.74,0.00,450,0,450,,
