Date,SPL_OUT,FKC_OUT,MC_OUT,SJR_OUT,M_IN,MIL_EVAP
1977-10-01,0,6.538451008,0,8.614053604,20.24662701,-0.448279281
1977-10-02,0,5.915741388,0,8.614053604,17.65994579,-0.448279281
1977-10-03,0,5.159593993,0,8.614053604,17.64294105,-0.448279281
1977-10-04,0,5.328615175,0,8.614053604,18.0054281,-0.448279281
1977-10-05,0,5.657761689,0,8.614053604,18.44947495,-0.448279281
1977-10-06,0,4.963885255,0,8.614053604,19.16538838,-0.448279281
1977-10-07,0,5.008364514,0,8.614053604,18.3407297,-0.448279281
1977-10-08,0,5.764511909,0,8.614053604,18.61259455,-0.448279281
1977-10-09,0,5.55990732,0,8.614053604,18.56728432,-0.448279281
1977-10-10,0,4.670322149,0,8.614053604,18.86633635,-0.448279281
1977-10-11,0,4.723697259,0,8.614053604,18.36791515,-0.448279281
1977-10-12,0,4.430134152,0,8.614053604,18.54009714,-0.448279281
1977-10-13,0,4.056508381,0,8.614053604,18.49478691,-0.448279281
1977-10-14,0,3.780736977,0,8.614053604,18.80290133,-0.448279281
1977-10-15,0,3.576132388,0,8.614053604,15.39172045,-0.448279281
1977-10-16,0,3.371527799,0,8.614053604,4.677804896,-0.448279281
1977-10-17,0,3.140235654,0,8.614053604,4.983409573,-0.448279281
1977-10-18,0,3.389319502,0,8.614053604,4.939801888,-0.448279281
1977-10-19,0,3.611715795,0,8.614053604,4.83325785,-0.448279281
1977-10-20,0,3.771841126,0,8.614053604,4.588271641,-0.448279281
1977-10-21,0,4.038716677,0,8.614053604,5.780574704,-0.448279281
1977-10-22,0,4.056508381,0,8.614053604,4.199775373,-0.448279281
1977-10-23,0,3.914174753,0,8.614053604,5.200786425,-0.448279281
1977-10-24,0,3.58502824,0,8.614053604,4.521242261,-0.448279281
1977-10-25,0,3.762945274,0,8.614053604,5.281010116,-0.448279281
1977-10-26,0,4.074300084,0,8.614053604,4.398610014,-0.448279281
1977-10-27,0,4.492405114,0,8.614053604,6.700900562,-0.448279281
1977-10-28,0,3.647299202,0,8.614053604,4.913463392,-0.448279281
1977-10-29,0,2.384088259,0,8.614053604,4.507296496,-0.448279281
1977-10-30,0,1.877024711,0,8.614053604,3.770971942,-0.448279281
1977-10-31,0,1.805857897,0,8.614053604,5.307941478,-0.448279281
1977-11-01,0,2.892412787,0,1.10460618,4.396214885,-0.206342826
1977-11-02,0,2.920769775,0,1.10460618,4.786032541,-0.206342826
1977-11-03,0,2.934948269,0,1.10460618,5.275783982,-0.206342826
1977-11-04,0,2.977483751,0,1.10460618,4.148872968,-0.206342826
1977-11-05,0,3.005840739,0,1.10460618,8.505201074,-0.206342826
1977-11-06,0,3.034197727,0,1.10460618,6.84029368,-0.206342826
1977-11-07,0,3.034197727,0,1.10460618,4.670292547,-0.206342826
1977-11-08,0,3.062554715,0,1.10460618,3.57923739,-0.206342826
1977-11-09,0,3.090911704,0,1.10460618,3.838557177,-0.206342826
1977-11-10,0,3.530445019,0,1.10460618,5.582905099,-0.206342826
1977-11-11,0,3.828193394,0,1.10460618,5.118421649,-0.206342826
1977-11-12,0,3.8140149,0,1.10460618,4.751781796,-0.206342826
1977-11-13,0,3.275232126,0,1.10460618,4.677611012,-0.206342826
1977-11-14,0,2.637199894,0,1.10460618,5.090123987,-0.206342826
1977-11-15,0,2.495414953,0,1.10460618,4.730571508,-0.206342826
1977-11-16,0,2.991662245,0,1.10460618,5.227675106,-0.206342826
1977-11-17,0,3.076733209,0,1.10460618,4.779516632,-0.206342826
1977-11-18,0,2.864055799,0,1.10460618,5.26725434,-0.206342826
1977-11-19,0,2.892412787,0,1.10460618,4.393454317,-0.206342826
1977-11-20,0,2.920769775,0,1.10460618,3.681667825,-0.206342826
1977-11-21,0,3.204339656,0,1.10460618,8.849981423,-0.206342826
1977-11-22,0,3.417017067,0,1.10460618,15.23097371,-0.206342826
1977-11-23,0,3.076733209,0,1.10460618,18.0566364,-0.206342826
1977-11-24,0,1.247707477,0,1.10460618,13.39227448,-0.206342826
1977-11-25,0,0,0,1.10460618,11.10131544,-0.206342826
1977-11-26,0,0,0,1.10460618,11.17325954,-0.206342826
1977-11-27,0,1.488741876,0,1.10460618,11.1678032,-0.206342826
1977-11-28,0,1.474563382,0,1.10460618,11.03532961,-0.206342826
1977-11-29,0,1.474563382,0,1.10460618,8.914000175,-0.206342826
1977-11-30,0,0,0,1.10460618,9.303193236,-0.206342826
1977-12-01,0,0,0,1.507069939,9.660216612,-0.155559757
1977-12-02,0,0,0,1.507069939,10.67782693,-0.155559757
1977-12-03,0,0,0,1.507069939,12.50280726,-0.155559757
1977-12-04,0,0,0,1.507069939,9.316644946,-0.155559757
1977-12-05,0,0,0,1.507069939,10.76327631,-0.155559757
1977-12-06,0,0,0,1.507069939,10.08684586,-0.155559757
1977-12-07,0,0,0,1.507069939,9.749473963,-0.155559757
1977-12-08,0,0,0,1.507069939,9.671414349,-0.155559757
1977-12-09,0,0,0,1.507069939,11.33626783,-0.155559757
1977-12-10,0,0,0,1.507069939,9.293756756,-0.155559757
1977-12-11,0,0,0,1.507069939,9.989265444,-0.155559757
1977-12-12,0,0,0,1.507069939,9.947573396,-0.155559757
1977-12-13,0,0,0,1.507069939,10.03239237,-0.155559757
1977-12-14,0,0,0,1.507069939,9.457428999,-0.155559757
1977-12-15,0,0,0,1.507069939,18.26781645,-0.155559757
1977-12-16,0,0,0,1.507069939,25.74393936,-0.155559757
1977-12-17,0,0,0,1.507069939,67.67049876,-0.155559757
1977-12-18,0,0,0,1.507069939,107.7843682,-0.155559757
1977-12-19,0,0,0,1.507069939,76.38540254,-0.155559757
1977-12-20,0,0,0,1.507069939,28.24806844,-0.155559757
1977-12-21,0,2.354418848,0,1.507069939,26.28607466,-0.155559757
1977-12-22,0,4.802267016,0,1.507069939,34.94951173,-0.155559757
1977-12-23,0,2.503905759,0,1.507069939,87.15618957,-0.155559757
1977-12-24,0,0,0,1.507069939,106.0094492,-0.155559757
1977-12-25,0,0,0,1.507069939,83.16449239,-0.155559757
1977-12-26,0,0,0,1.507069939,46.72872057,-0.155559757
1977-12-27,0,0,0,1.507069939,102.2729338,-0.155559757
1977-12-28,0,0,0,1.507069939,128.4374639,-0.155559757
1977-12-29,0,0,0,1.507069939,118.7161446,-0.155559757
1977-12-30,0,2.952366492,0,1.507069939,117.6031765,-0.155559757
1977-12-31,0,1.663041885,0,1.507069939,82.45199139,-0.155559757
1978-01-01,0,0,0,0.699461384,70.37021201,-0.177831477
1978-01-02,0,2.005592323,0,0.699461384,55.34900746,-0.177831477
1978-01-03,0,0.668530774,0,0.699461384,45.77045903,-0.177831477
1978-01-04,0,1.060929272,0,0.699461384,50.77927581,-0.177831477
1978-01-05,0,0,0,0.699461384,77.50968951,-0.177831477
1978-01-06,0,0,0,0.699461384,113.8735562,-0.177831477
1978-01-07,0,1.060929272,0,0.699461384,112.0494707,-0.177831477
1978-01-08,0,1.060929272,0,0.699461384,71.61189772,-0.177831477
1978-01-09,0,0.610397663,0,0.699461384,82.34900667,-0.177831477
1978-01-10,0,0.552264553,0,0.699461384,111.1106215,-0.177831477
1978-01-11,0,6.598108076,0,0.699461384,85.72745035,-0.177831477
1978-01-12,0,17.19286752,0,0.699461384,65.12828555,-0.177831477
1978-01-13,0,18.92232757,0,0.699461384,57.92853533,-0.177831477
1978-01-14,0,19.31472606,0,0.699461384,93.85875356,-0.177831477
1978-01-15,0,19.67805801,0,0.699461384,199.3690273,-0.177831477
1978-01-16,0,19.76525767,0,0.699461384,211.8277528,-0.177831477
1978-01-17,0,20.62272106,0,0.699461384,266.4482026,-0.177831477
