Date,SPL_OUT,FKC_OUT,MC_OUT,SJR_OUT,M_IN,MIL_EVAP
1977-10-01,0,6.54,0,9.89,11.41,-0.62
1977-10-02,0,6.54,0,9.89,11.41,-0.62
1977-10-03,0,6.54,0,9.89,11.41,-0.88
1977-10-04,0,6.54,0,9.89,11.41,-0.88
1977-10-05,0,6.54,0,9.89,11.41,-0.88
1977-10-06,0,6.54,0,9.89,11.41,-0.88
1977-10-07,0,6.54,0,9.89,11.41,-0.88
1977-10-08,0,6.54,0,9.89,11.41,-0.88
1977-10-09,0,6.54,0,9.89,11.41,-0.88
1977-10-10,0,6.54,0,9.89,11.41,-0.88
1977-10-11,0,6.54,0,9.89,11.41,-0.88
1977-10-12,0,6.54,0,9.89,11.41,-0.88
1977-10-13,0,6.54,0,9.89,11.41,-0.88
1977-10-14,0,6.54,0,9.89,11.41,-0.88
1977-10-15,0,6.54,0,9.89,11.41,-0.88
1977-10-16,0,6.54,0,9.89,11.41,-0.88
1977-10-17,0,6.54,0,9.89,11.41,-0.88
1977-10-18,0,6.54,0,9.89,11.41,-0.88
1977-10-19,0,6.54,0,9.89,11.41,-0.88
1977-10-20,0,6.54,0,9.89,11.41,-0.88
1977-10-21,0,6.54,0,9.89,11.41,-0.88
1977-10-22,0,6.54,0,9.89,11.41,-0.88
1977-10-23,0,6.54,0,9.89,11.41,-0.88
1977-10-24,0,6.54,0,9.89,11.41,-0.88
1977-10-25,0,6.54,0,9.89,11.41,-0.88
1977-10-26,0,6.54,0,9.89,11.41,-0.88
1977-10-27,0,6.54,0,9.89,11.41,-0.88
1977-10-28,0,6.54,0,9.89,11.41,-0.88
1977-10-29,0,6.54,0,9.89,11.41,-0.88
1977-10-30,0,6.54,0,9.89,11.41,-0.88
1977-10-31,0,6.54,0,9.89,11.41,-0.88
1977-11-01,0,0,0,10.95,7.25,-0.88
1977-11-02,0,0,0,10.95,7.25,-1.48
1977-11-03,0,0,0,10.95,7.25,-1.48
1977-11-04,0,0,0,10.95,7.25,-1.48
1977-11-05,0,0,0,10.95,7.25,-1.48
1977-11-06,0,0,0,10.95,7.25,-1.48
1977-11-07,0,0,0,10.95,7.25,-1.48
