Date,SPL_OUT,FKC_OUT,MC_OUT,SJR_OUT,M_IN,MIL_EVAP,,SPL_OUT_cfs,FKC_OUT_cfs,MC_OUT_cfs,SJR_OUT_cfs,M_IN_cfs,MIL_EVAP_cfs
1/1/2022,0.00,56.49,2.97,18.12,54.06,0.16,,0,1995,105,640,1909,5.52
1/2/2022,0.00,58.30,2.97,18.41,52.36,0.14,,0,2059,105,650,1849,4.96
1/3/2022,0.00,62.24,3.62,18.41,48.59,0.23,,0,2198,128,650,1716,8.23
1/4/2022,0.00,66.06,4.59,18.38,9.68,0.27,,0,2333,162,649,342,9.41
1/5/2022,0.00,67.14,4.81,18.35,18.94,0.19,,0,2371,170,648,669,6.71
1/6/2022,0.00,67.96,4.81,18.29,18.60,0.02,,0,2400,170,646,657,0.64
1/7/2022,0.00,68.22,4.73,18.32,17.13,0.13,,0,2409,167,647,605,4.59
1/8/2022,0.00,67.42,4.67,18.41,25.23,0.20,,0,2381,165,650,891,7.04
1/9/2022,0.00,67.25,4.64,18.46,30.47,0.36,,0,2375,164,652,1076,12.67
1/10/2022,0.00,63.51,4.62,18.46,17.87,0.02,,0,2243,163,652,631,0.82
1/11/2022,0.00,62.50,4.28,18.43,13.90,0.21,,0,2207,151,651,491,7.55
1/12/2022,0.00,48.73,4.11,18.41,19.91,0.26,,0,1721,145,650,703,9.07
1/13/2022,0.00,43.72,4.02,18.41,30.21,0.03,,0,1544,142,650,1067,0.91
1/14/2022,0.00,36.84,4.02,18.38,30.44,0.06,,0,1301,142,649,1075,2.09
1/15/2022,0.00,30.87,3.99,18.38,25.57,0.14,,0,1090,141,649,903,4.9
1/16/2022,0.00,29.56,3.99,18.35,25.00,0.40,,0,1044,141,648,883,13.99
1/17/2022,0.00,33.73,3.88,18.38,27.33,0.16,,0,1191,137,649,965,5.81
1/18/2022,0.00,32.54,3.82,18.38,23.02,0.31,,0,1149,135,649,813,10.93
1/19/2022,0.00,34.35,3.99,18.32,24.69,0.09,,0,1213,141,647,872,3.03
1/20/2022,0.00,34.66,4.22,18.38,24.69,0.07,,0,1224,149,649,872,2.3
1/21/2022,0.00,27.10,4.19,18.41,21.32,0.26,,0,957,148,650,753,9.33
1/22/2022,0.00,21.12,4.19,18.41,24.04,0.29,,0,746,148,650,849,10.08
1/23/2022,0.00,18.38,4.19,18.41,20.44,0.20,,0,649,148,650,722,6.99
1/24/2022,0.00,20.19,4.19,18.38,24.15,0.23,,0,713,148,649,853,8.13
1/25/2022,0.00,21.46,4.19,18.35,24.98,0.53,,0,758,148,648,882,18.82
1/26/2022,0.00,19.77,4.22,18.04,24.38,0.31,,0,698,149,637,861,10.89
1/27/2022,0.00,18.46,3.43,16.76,15.38,0.47,,0,652,121,592,543,16.65
1/28/2022,0.00,16.96,0.54,15.74,16.11,0.29,,0,599,19,556,569,10.15
1/29/2022,0.00,15.69,0.00,14.87,23.50,0.30,,0,554,0,525,830,10.72
1/30/2022,0.00,18.01,0.00,14.02,26.48,0.06,,0,636,0,495,935,2.07
1/31/2022,0.00,20.70,0.00,13.37,28.74,0.20,,0,731,0,472,1015,6.93
2/1/2022,0.00,22.09,0.00,12.77,40.44,0.22,,0,780,0,451,1428,7.72
2/2/2022,0.00,22.54,0.00,12.63,39.79,0.24,,0,796,0,446,1405,8.44
2/3/2022,0.00,21.69,0.00,12.63,43.35,0.32,,0,766,0,446,1531,11.22
