Date,SPL_OUT,FKC_OUT,MC_OUT,SJR_OUT,M_IN,MIL_EVAP
1/1/2024,0,0,0,12.0063232,45.3635136,0.117231552
1/2/2024,0,0,0,12.0063232,38.6241152,0.058615776
1/3/2024,0,6.937616,0,12.0063232,42.5601504,0.163387936
1/4/2024,0,9.2595936,0,12.03464,48.6199456,0.047005888
1/5/2024,0,9.7409792,0,12.03464,48.1668768,0.028033632
1/6/2024,0,0,0,12.03464,56.9734016,0.067393984
1/7/2024,0,0,0,12.0629568,51.67816,0.025201952
1/8/2024,0,4.9837568,0,12.0912736,41.342528,0.0141584
1/9/2024,0,4.8988064,0,12.0912736,29.9874912,0.017839584
1/10/2024,0,0,0,12.0912736,43.6928224,0.12176224
1/11/2024,0,4.8988064,0,12.0912736,46.3262848,0.176413664
1/12/2024,0,7.8720704,0,12.0912736,31.4882816,0.27467296
1/13/2024,0,2.83168,0,12.0912736,34.0084768,0.2406928
1/14/2024,0,0,0,12.0912736,61.1926048,0.116665216
1/15/2024,0,9.20296,0,12.0912736,76.3420928,0.384542144
1/16/2024,0,7.0792,0,12.0912736,62.8916128,0.027750464
1/17/2024,0,8.49504,0,12.1195904,53.660336,0.061730624
1/18/2024,0,0,0,12.1195904,45.6183648,0.104205824
1/19/2024,0,5.0403904,0,12.1195904,47.289056,0.1203464
1/20/2024,0,0,0,12.1195904,43.3813376,0.030865312
1/21/2024,0,0,0,12.0629568,25.1453184,0.024352448
1/22/2024,0,0,0,11.9496896,49.129648,0.132805792
1/23/2024,0,4.672272,0,11.751472,34.2350112,0.070508832
1/24/2024,0,6.1164288,0,11.751472,36.4720384,0.105904832
1/25/2024,0,0,0,10.7320672,37.8595616,0.254284864
1/26/2024,0,6.0597952,0,11.751472,28.2884832,0.403797568
1/27/2024,0,0,0,11.751472,29.166304,0.01699008
1/28/2024,0,0.70792,0,11.751472,24.5506656,0.035396
1/29/2024,0,17.0467136,0,12.4310752,34.5181792,0.071641504
1/30/2024,0,17.0467136,0,13.7053312,43.0698528,0.14441568
1/31/2024,0,17.0467136,0,14.8380032,39.360352,0.373498592
2/1/2024,0,17.0467136,0,15.432656,46.6660864,0.256550208
2/2/2024,0,17.0467136,0,15.432656,51.5932096,0.0283168
2/3/2024,0,13.5354304,0,15.432656,37.2649088,0.122328576
2/4/2024,0,11.893056,0,15.4609728,54.2549888,0.188589888
2/5/2024,0,1.5007904,0,15.4892896,65.694976,0.367268896
2/6/2024,0,0,0,15.715824,67.535568,0.631181472
2/7/2024,0,4.3324704,0,15.857408,68.3001216,0.031997984
2/8/2024,0,0,0,15.857408,62.2403264,0.323377856
2/9/2024,0,7.78712,0,15.857408,55.4159776,0.261364064
2/10/2024,0,11.32672,0,15.857408,55.9823136,0.427300512
2/11/2024,0,11.32672,0,15.857408,46.2413344,0.415407456
2/12/2024,0,8.4384064,0,15.8857248,38.7656992,0.451086624
2/13/2024,0,10.335632,0,15.8857248,50.4888544,0.36953424
2/14/2024,0,10.5621664,0,15.6308736,57.5397376,0.02690096
2/15/2024,0,10.5338496,0,15.4892896,45.731632,0.696026944
2/16/2024,0,9.8259296,0,15.4892896,45.4767808,0.150645376
2/17/2024,0,7.4756352,0,15.4892896,61.022704,0.082401888
2/18/2024,0,7.4190016,0,15.3193888,54.0284544,0.43324704
2/19/2024,0,7.4190016,0,14.1867168,82.0904032,0.135071136
2/20/2024,0,8.778208,0,14.3283008,88.9713856,0.039077184
2/21/2024,0,12.0629568,0,14.724736,69.9141792,0.414557952
2/22/2024,0,15.8857248,0,14.724736,63.6844832,0.283734336
2/23/2024,0,16.0839424,0,14.724736,67.0541824,0.074756352
2/24/2024,0,15.5176064,0,14.724736,31.8280832,0.511967744
2/25/2024,0,17.1599808,0,14.724736,27.4956128,0.237294784
2/26/2024,0,21.9738368,0,14.7530528,46.9209376,0.433530208
2/27/2024,0,25.5983872,0,15.2061216,51.7064768,0.494694496
2/28/2024,0,27.042544,0,15.432656,65.9498272,0.174714656
2/29/2024,0,25.4001696,0,15.432656,59.5502304,0.37802928
3/1/2024,0,22.795024,0,15.432656,53.0090496,0.58474192
3/2/2024,0,19.7651264,0,15.432656,85.1486176,0.019538592
3/3/2024,0,18.3492864,0,15.432656,79.3719904,0.479120256
3/4/2024,0,20.7845312,0,15.4609728,60.9943872,0.523577632
3/5/2024,0,22.6817568,0,15.4609728,46.2413344,0.278354144
3/6/2024,0,25.1736352,0,15.4609728,48.0536096,0.3610392
3/7/2024,0,25.8249216,0,15.291072,43.18312,0.674506176
3/8/2024,0,20.3031456,0,14.8380032,39.218768,0.298459072
3/9/2024,0,14.1017664,0,14.8380032,35.3110496,0.16706912
3/10/2024,0,14.1017664,0,14.8380032,35.112832,0.246639328
3/11/2024,0,14.1017664,0,14.8380032,35.6508512,0.66969232
3/12/2024,0,15.9140416,0,14.8380032,38.1710464,1.026484
3/13/2024,0,17.1882976,0,14.8380032,30.6387776,1.21620656
3/14/2024,0,15.3193888,0,14.8380032,62.5518112,0.936153408
3/15/2024,0,12.6859264,0,14.8946368,53.7452864,0.125160256
3/16/2024,0,12.6576096,0,14.8946368,63.7128,0.450803456
3/17/2024,0,12.6576096,0,14.8946368,66.2329952,0.479120256
3/18/2024,0,15.6875072,0,14.8946368,74.1050656,0.418805472
3/19/2024,0,17.7263168,0,14.8946368,71.1601184,0.618438912
3/20/2024,0,18.4908704,0,15.2061216,82.9115904,0.965319712
3/21/2024,0,17.4431488,0,15.4609728,79.9100096,0.548779584
3/22/2024,0,13.025728,0,15.4043392,83.676144,0.122894912
3/23/2024,0,10.5904832,0,15.4609728,90.0191072,0.730290272
3/24/2024,0,12.1479072,0,15.4892896,79.8250592,0.743032832
3/25/2024,0,12.5160256,0,15.4892896,72.9723936,0.866777248
3/26/2024,0,11.2134528,0,15.4892896,77.3898144,0.68243488
3/27/2024,0,10.6188,0,15.5176064,74.9545696,0.794569408
3/28/2024,0,8.7215744,0,15.5176064,82.4585216,0.760022912
3/29/2024,0,7.7021696,0,15.5176064,95.8806848,1.113699744
3/30/2024,0,6.7677152,0,15.5459232,116.8917504,0.771066464
3/31/2024,0,10.4205824,0,15.5459232,94.6913792,1.518346816
4/1/2024,0,15.291072,0,15.5459232,92.3977184,0.093162272
4/2/2024,0,18.40592,0,15.57424,91.5482144,0.149229536
4/3/2024,0,22.4552224,0,15.6025568,90.1606912,0.324793696
4/4/2024,0,20.7278976,0,15.6025568,91.3783136,0.4813856
4/5/2024,0,16.565328,0,15.6025568,90.8402944,0.594369632
4/6/2024,0,14.2433504,0,15.5176064,78.012784,0.728591264
4/7/2024,0,20.0766112,0,15.4892896,72.0096224,0.829399072
4/8/2024,0,31.8847168,5.2669248,15.4892896,81.1842656,0.88348416
4/9/2024,0,39.2754016,9.1180096,15.5176064,75.8040736,0.831381248
4/10/2024,0,48.1951936,14.4698848,15.4892896,95.852368,0.700557632
4/11/2024,0,49.8092512,20.7562144,15.4892896,104.8571104,0.662329952
4/12/2024,0,36.6136224,24.0975968,15.4892896,101.0626592,0.624951776
4/13/2024,0,27.1274944,23.4179936,15.4892896,96.3620704,0.701123968
4/14/2024,0,28.458384,20.6995808,15.4892896,108.9347296,0.964753376
4/15/2024,0,39.3037184,19.3120576,15.4892896,96.0222688,0.382843136
4/16/2024,0,44.2308416,18.972256,15.4892896,94.7480128,0.551328096
4/17/2024,0,48.7898464,18.972256,15.4892896,94.578112,0.758323904
4/18/2024,0,53.0090496,18.972256,15.4892896,105.904832,0.868759424
4/19/2024,0,44.6555936,17.3865152,15.4892896,84.2991136,0.674223008
4/20/2024,0,41.0876768,15.149488,15.4609728,82.6001056,0.371799584
4/21/2024,0,51.0835072,16.5936448,15.4043392,91.4349472,0.3044056
4/22/2024,0,68.8664576,19.1987904,15.3760224,183.6627648,0.575114208
4/23/2024,0,75.4925888,22.0021536,15.4043392,240.0131968,0.8707416
4/24/2024,0,72.8308096,24.8055168,15.857408,224.2407392,0.672807168
4/25/2024,0,66.7710144,25.5983872,16.1972096,190.8835488,0.888298016
4/26/2024,0,49.4694496,23.3896768,18.1510688,199.208688,1.511833952
4/27/2024,8.7215744,39.9833216,21.2942336,24.0975968,144.2174624,0.757757568
4/28/2024,0,43.5512384,22.0021536,24.2958144,147.388944,0.326775872
4/29/2024,0,55.3876608,24.7772,24.7772,168.3716928,1.016006784
4/30/2024,0,76.2854592,26.5045248,24.8338336,180.1514816,0.550478592
5/1/2024,0,95.3143488,27.892048,24.8621504,184.7954368,0.62863296
5/2/2024,0,102.082064,28.4300672,24.8904672,185.9281088,0.53518752
5/3/2024,0,104.5456256,28.2035328,24.8904672,161.1792256,0.963337536
5/4/2024,0,106.0180992,26.2213568,24.8904672,208.411648,0.640526016
5/5/2024,1.0760384,107.9719584,26.2496736,24.8904672,177.4897024,1.093877984
5/6/2024,0,113.0406656,27.3823456,24.8904672,124.9054048,0.728308096
5/7/2024,3.5396,114.0883872,27.3823456,22.1720544,115.2210592,1.141733376
5/8/2024,18.4908704,116.382048,28.3451168,20.0766112,118.4774912,0.649304224
5/9/2024,17.1599808,112.8707648,29.8459072,18.5758208,142.6600384,0.932755392
5/10/2024,21.3508672,95.9656352,31.0352128,17.698,126.1796608,1.054234464
5/11/2024,24.210864,87.7537632,29.9308576,17.698,142.716672,0.8919792
5/12/2024,21.8888864,85.65832,29.4777888,17.698,164.3223904,1.355808384
