Date,SPL_OUT_cms,FKC_OUT_cms,MC_OUT_cms,SJR_OUT_cms,M_IN_cms,MIL_EVAP_cms
1/1/2022,0.00,56.49,2.97,18.12,54.06,0.16
1/2/2022,0.00,58.30,2.97,18.41,52.36,0.14
1/3/2022,0.00,62.24,3.62,18.41,48.59,0.23
1/4/2022,0.00,66.06,4.59,18.38,9.68,0.27
1/5/2022,0.00,67.14,4.81,18.35,18.94,0.19
1/6/2022,0.00,67.96,4.81,18.29,18.60,0.02
1/7/2022,0.00,68.22,4.73,18.32,17.13,0.13
1/8/2022,0.00,67.42,4.67,18.41,25.23,0.20
1/9/2022,0.00,67.25,4.64,18.46,30.47,0.36
1/10/2022,0.00,63.51,4.62,18.46,17.87,0.02
1/11/2022,0.00,62.50,4.28,18.43,13.90,0.21
1/12/2022,0.00,48.73,4.11,18.41,19.91,0.26
1/13/2022,0.00,43.72,4.02,18.41,30.21,0.03
1/14/2022,0.00,36.84,4.02,18.38,30.44,0.06
1/15/2022,0.00,30.87,3.99,18.38,25.57,0.14
1/16/2022,0.00,29.56,3.99,18.35,25.00,0.40
1/17/2022,0.00,33.73,3.88,18.38,27.33,0.16
1/18/2022,0.00,32.54,3.82,18.38,23.02,0.31
1/19/2022,0.00,34.35,3.99,18.32,24.69,0.09
1/20/2022,0.00,34.66,4.22,18.38,24.69,0.07
1/21/2022,0.00,27.10,4.19,18.41,21.32,0.26
1/22/2022,0.00,21.12,4.19,18.41,24.04,0.29
1/23/2022,0.00,18.38,4.19,18.41,20.44,0.20
1/24/2022,0.00,20.19,4.19,18.38,24.15,0.23
1/25/2022,0.00,21.46,4.19,18.35,24.98,0.53
1/26/2022,0.00,19.77,4.22,18.04,24.38,0.31
1/27/2022,0.00,18.46,3.43,16.76,15.38,0.47
1/28/2022,0.00,16.96,0.54,15.74,16.11,0.29
1/29/2022,0.00,15.69,0.00,14.87,23.50,0.30
1/30/2022,0.00,18.01,0.00,14.02,26.48,0.06
1/31/2022,0.00,20.70,0.00,13.37,28.74,0.20
2/1/2022,0.00,22.09,0.00,11.33,40.44,0.22
2/2/2022,0.00,22.54,0.00,11.33,39.79,0.24
2/3/2022,0.00,21.69,0.00,11.33,43.35,0.32
2/4/2022,0.00,19.43,0.00,11.33,26.50,0.18
2/5/2022,0.00,17.39,0.00,11.33,26.82,0.31
2/6/2022,0.00,16.79,0.00,11.33,27.78,0.30
2/7/2022,0.00,24.49,0.00,11.33,22.82,0.54
2/8/2022,0.00,27.95,0.00,11.33,22.14,0.58
2/9/2022,0.00,25.68,0.00,11.33,10.00,0.69
2/10/2022,0.00,24.07,0.00,11.33,7.70,0.43
2/11/2022,0.00,19.34,0.00,11.33,7.62,0.67
2/12/2022,0.00,15.15,0.00,11.33,17.16,0.63
2/13/2022,0.00,18.18,0.00,11.33,32.65,0.32
2/14/2022,0.00,22.12,0.00,11.33,21.92,0.29
2/15/2022,0.00,25.57,0.00,11.33,12.20,0.30
2/16/2022,0.00,29.87,0.00,11.33,27.64,0.71
2/17/2022,0.00,27.75,0.00,11.33,40.75,0.53
2/18/2022,0.00,24.95,0.00,11.33,47.80,0.62
2/19/2022,0.00,21.80,0.00,11.33,51.42,0.23
2/20/2022,0.00,25.34,0.00,11.33,41.20,0.33
2/21/2022,0.00,29.68,0.00,11.33,36.08,0.24
2/22/2022,0.00,34.74,0.00,11.33,44.88,0.32
2/23/2022,0.00,38.28,0.00,11.33,54.34,0.40
2/24/2022,0.00,37.52,0.00,11.33,52.98,0.39
2/25/2022,0.00,26.76,0.00,11.33,51.25,-10.89
2/26/2022,0.00,27.92,0.00,11.33,46.04,1.04
2/27/2022,0.00,15.06,0.00,11.33,40.27,0.57
2/28/2022,0.00,6.43,0.00,11.33,29.48,0.19
3/1/2022,0.00,2.04,0.00,12.18,28.77,1.71
3/2/2022,0.00,2.04,0.00,13.59,32.68,0.53
3/3/2022,0.00,2.18,0.00,15.01,43.66,0.21
3/4/2022,0.00,1.64,0.00,16.42,15.43,0.08
3/5/2022,0.00,1.93,0.00,17.84,30.53,0.64
3/6/2022,0.00,1.39,0.00,19.26,45.67,0.43
3/7/2022,0.00,2.97,0.00,20.67,48.76,0.52
3/8/2022,0.00,1.81,0.00,22.09,47.57,0.76
3/9/2022,0.00,3.00,0.00,23.50,46.10,0.16
3/10/2022,0.00,0.00,0.00,23.50,40.12,1.41
3/11/2022,0.00,0.00,0.00,23.50,40.41,0.52
3/12/2022,0.00,0.00,0.00,23.50,44.60,0.60
3/13/2022,0.00,0.00,0.00,23.50,36.81,0.45
3/14/2022,0.00,2.38,0.00,23.50,38.62,0.55
3/15/2022,0.00,2.86,0.00,24.92,34.86,0.48
3/16/2022,0.00,2.83,0.00,26.33,23.22,0.76
3/17/2022,0.00,3.31,0.00,26.05,37.94,0.55
3/18/2022,0.00,2.83,0.00,26.62,41.91,0.29
3/19/2022,0.00,2.83,0.00,27.18,56.29,0.41
3/20/2022,0.00,2.83,0.00,27.47,44.03,0.50
3/21/2022,0.00,3.74,0.00,25.91,31.80,0.68
3/22/2022,0.00,4.22,0.00,25.06,30.21,1.10
3/23/2022,0.00,4.22,0.00,24.49,50.55,0.25
3/24/2022,0.00,4.67,0.00,24.49,46.10,0.97
3/25/2022,0.00,4.67,0.00,26.05,51.56,0.69
3/26/2022,0.00,4.67,0.00,27.18,46.95,1.05
3/27/2022,0.00,4.64,0.00,27.47,28.49,0.21
3/28/2022,0.00,4.64,0.00,27.47,48.37,0.45
3/29/2022,0.00,3.71,0.00,27.47,49.75,0.49
3/30/2022,0.00,3.23,0.00,25.91,72.97,0.30
3/31/2022,0.00,2.78,0.00,23.08,71.61,0.53
4/1/2022,0.00,3.68,0.00,21.66,78.81,0.74
4/2/2022,0.00,3.68,0.00,21.24,70.99,0.69
4/3/2022,0.00,3.65,0.00,21.24,67.37,0.79
4/4/2022,0.00,5.49,0.00,21.24,72.12,0.99
4/5/2022,0.00,5.92,0.00,21.24,65.69,0.73
4/6/2022,0.00,6.63,0.00,21.24,65.47,1.20
4/7/2022,0.00,7.36,0.00,21.24,70.57,1.26
4/8/2022,0.00,5.47,0.00,21.24,68.84,1.37
4/9/2022,0.00,4.50,0.00,21.24,64.90,0.94
4/10/2022,0.00,4.47,0.00,21.24,56.86,0.02
4/11/2022,0.00,6.48,0.00,21.24,69.86,0.96
4/12/2022,0.00,6.65,0.00,21.24,66.71,0.24
4/13/2022,0.00,6.65,0.00,21.24,51.23,1.30
4/14/2022,0.00,5.35,0.00,21.24,53.77,0.74
4/15/2022,0.00,5.35,0.00,21.24,61.08,0.41
4/16/2022,0.00,3.11,0.00,21.24,41.94,1.13
4/17/2022,0.00,3.11,0.00,21.24,39.87,0.84
4/18/2022,0.00,3.11,0.00,21.24,67.51,0.95
4/19/2022,0.00,5.78,0.00,21.24,40.75,0.64
4/20/2022,0.00,6.20,0.00,21.24,46.47,0.54
4/21/2022,0.00,4.45,0.00,21.24,43.89,0.71
4/22/2022,0.00,3.54,0.00,21.24,52.70,0.42
4/23/2022,0.00,2.21,0.00,21.24,54.96,1.19
4/24/2022,0.00,3.09,0.00,21.24,56.66,1.14
4/25/2022,0.00,4.42,0.00,21.24,72.69,1.19
4/26/2022,0.00,4.84,0.00,21.24,72.18,0.91
4/27/2022,0.00,4.42,0.00,21.24,60.88,1.02
4/28/2022,0.00,3.94,0.00,21.24,54.91,0.96
4/29/2022,0.00,5.24,0.00,21.24,57.28,1.28
