Date,SPL_OUT,FKC_OUT,MC_OUT,SJR_OUT,M_IN,MIL_EVAP
1977-10-01,0,4.032079341,0,8.645978515,20.24662701,-0.441357181
1977-10-02,0,4.932577061,0,8.645978515,17.65994579,-0.441357181
1977-10-03,0,5.564269491,0,8.645978515,17.64294105,-0.441357181
1977-10-04,0,5.523948697,0,8.645978515,18.0054281,-0.441357181
1977-10-05,0,5.497068168,0,8.645978515,18.44947495,-0.441357181
1977-10-06,0,5.174501821,0,8.645978515,19.16538838,-0.441357181
1977-10-07,0,4.193362515,0,8.645978515,18.3407297,-0.441357181
1977-10-08,0,3.18534268,0,8.645978515,18.61259455,-0.441357181
1977-10-09,0,3.373506382,0,8.645978515,18.56728432,-0.441357181
1977-10-10,0,3.615431143,0,8.645978515,18.86633635,-0.441357181
1977-10-11,0,3.884236432,0,8.645978515,18.36791515,-0.441357181
1977-10-12,0,4.300884631,0,8.645978515,18.54009714,-0.441357181
1977-10-13,0,4.44872754,0,8.645978515,18.49478691,-0.441357181
1977-10-14,0,4.274004102,0,8.645978515,18.80290133,-0.441357181
1977-10-15,0,4.045519606,0,8.645978515,15.39172045,-0.441357181
1977-10-16,0,5.053539441,0,8.645978515,4.677804896,-0.441357181
1977-10-17,0,6.10188007,0,8.645978515,4.983409573,-0.441357181
1977-10-18,0,6.061559276,0,8.645978515,4.939801888,-0.441357181
1977-10-19,0,5.819634516,0,8.645978515,4.83325785,-0.441357181
1977-10-20,0,5.577709755,0,8.645978515,4.588271641,-0.441357181
1977-10-21,0,4.798174416,0,8.645978515,5.780574704,-0.441357181
1977-10-22,0,3.642311672,0,8.645978515,4.199775373,-0.441357181
1977-10-23,0,3.628871407,0,8.645978515,5.200786425,-0.441357181
1977-10-24,0,4.193362515,0,8.645978515,4.521242261,-0.441357181
1977-10-25,0,4.462167804,0,8.645978515,5.281010116,-0.441357181
1977-10-26,0,3.481028498,0,8.645978515,4.398610014,-0.441357181
1977-10-27,0,2.728373688,0,8.645978515,6.700900562,-0.441357181
1977-10-28,0,3.373506382,0,8.645978515,4.913463392,-0.441357181
1977-10-29,0,4.005198812,0,8.645978515,4.507296496,-0.441357181
1977-10-30,0,3.978318283,0,8.645978515,3.770971942,-0.441357181
1977-10-31,0,3.790154581,0,8.645978515,5.307941478,-0.441357181
1977-11-01,0,8.049203003,0,3.967555697,4.396214885,-0.199852616
1977-11-02,0,0,0,3.967555697,4.786032541,-0.199852616
1977-11-03,0,3.602129521,0,3.967555697,5.275783982,-0.199852616
1977-11-04,0,0,0,3.967555697,4.148872968,-0.199852616
1977-11-05,0,0,0,3.967555697,8.505201074,-0.199852616
1977-11-06,0,0,0,3.967555697,6.84029368,-0.199852616
1977-11-07,0,0,0,3.967555697,4.670292547,-0.199852616
1977-11-08,0,3.735541725,0,3.967555697,3.57923739,-0.199852616
1977-11-09,0,0,0,3.967555697,3.838557177,-0.199852616
1977-11-10,0,2.979539233,0,3.967555697,5.582905099,-0.199852616
1977-11-11,0,1.467534249,0,3.967555697,5.118421649,-0.199852616
1977-11-12,0,0,0,3.967555697,4.751781796,-0.199852616
1977-11-13,0,2.979539233,0,3.967555697,4.677611012,-0.199852616
1977-11-14,0,5.959078466,0,3.967555697,5.090123987,-0.199852616
1977-11-15,0,5.203075974,0,3.967555697,4.730571508,-0.199852616
1977-11-16,0,7.426612716,0,3.967555697,5.227675106,-0.199852616
1977-11-17,0,9.828032396,0,3.967555697,4.779516632,-0.199852616
1977-11-18,0,6.537198019,0,3.967555697,5.26725434,-0.199852616
1977-11-19,0,2.890597764,0,3.967555697,4.393454317,-0.199852616
1977-11-20,0,2.223536741,0,3.967555697,3.681667825,-0.199852616
1977-11-21,0,4.447073482,0,3.967555697,8.849981423,-0.199852616
1977-11-22,0,0,0,3.967555697,15.23097371,-0.199852616
1977-11-23,0,0,0,3.967555697,18.0566364,-0.199852616
1977-11-24,0,0,0,3.967555697,13.39227448,-0.199852616
1977-11-25,0,5.781195527,0,3.967555697,11.10131544,-0.199852616
1977-11-26,0,0,0,3.967555697,11.17325954,-0.199852616
1977-11-27,0,5.781195527,0,3.967555697,11.1678032,-0.199852616
1977-11-28,0,0,0,3.967555697,11.03532961,-0.199852616
1977-11-29,0,0,0,3.967555697,8.914000175,-0.199852616
1977-11-30,0,0,0,3.967555697,9.303193236,-0.199852616
1977-12-01,0,0.460516129,0,3.397923967,9.660216612,-0.151685989
1977-12-02,0,0.460516129,0,3.397923967,10.67782693,-0.151685989
1977-12-03,0,0.460516129,0,3.397923967,12.50280726,-0.151685989
1977-12-04,0,0.460516129,0,3.397923967,9.316644946,-0.151685989
1977-12-05,0,0.460516129,0,3.397923967,10.76327631,-0.151685989
1977-12-06,0,0.460516129,0,3.397923967,10.08684586,-0.151685989
1977-12-07,0,0.460516129,0,3.397923967,9.749473963,-0.151685989
1977-12-08,0,0.460516129,0,3.397923967,9.671414349,-0.151685989
1977-12-09,0,0.460516129,0,3.397923967,11.33626783,-0.151685989
1977-12-10,0,0.460516129,0,3.397923967,9.293756756,-0.151685989
1977-12-11,0,0.460516129,0,3.397923967,9.989265444,-0.151685989
1977-12-12,0,0.460516129,0,3.397923967,9.947573396,-0.151685989
1977-12-13,0,0.460516129,0,3.397923967,10.03239237,-0.151685989
1977-12-14,0,0.460516129,0,3.397923967,9.457428999,-0.151685989
1977-12-15,0,0.460516129,0,3.397923967,18.26781645,-0.151685989
1977-12-16,0,0.460516129,0,3.397923967,25.74393936,-0.151685989
1977-12-17,0,0.460516129,0,3.397923967,67.67049876,-0.151685989
1977-12-18,0,0.460516129,0,3.397923967,107.7843682,-0.151685989
1977-12-19,0,0.460516129,0,3.397923967,76.38540254,-0.151685989
1977-12-20,0,0.460516129,0,3.397923967,28.24806844,-0.151685989
1977-12-21,0,0.460516129,0,3.397923967,26.28607466,-0.151685989
1977-12-22,0,0.460516129,0,3.397923967,34.94951173,-0.151685989
1977-12-23,0,0.460516129,0,3.397923967,87.15618957,-0.151685989
1977-12-24,0,0.460516129,0,3.397923967,106.0094492,-0.151685989
1977-12-25,0,0.460516129,0,3.397923967,83.16449239,-0.151685989
