DATE TIME,TAIR,TDEW,WIND,PHI,CLOUD,SRO
1/1/1977 0:00,7,7,2.6,5.93,10,0
1/1/1977 1:00,7,7,2.6,5.41,10,0
1/1/1977 2:00,7,6,2.6,5.58,10,0
1/1/1977 3:00,7,6,1.5,5.76,10,0
1/1/1977 4:00,7,6,0,0,10,0
1/1/1977 5:00,7,6,1,3.14,10,0
1/1/1977 6:00,7,6,1,3.14,10,0
1/1/1977 7:00,8,6,2.1,2.62,10,21
1/1/1977 8:00,8,7,3.1,2.09,10,68
1/1/1977 9:00,8,7,2.6,2.09,10,142
1/1/1977 10:00,8,7,2.6,2.79,10,206
1/1/1977 11:00,9,7,3.1,2.62,10,235
1/1/1977 12:00,9,8,2.6,2.62,10,322
1/1/1977 13:00,11,8,2.6,2.62,10,353
1/1/1977 14:00,12,8,2.6,2.09,10,269
1/1/1977 15:00,11,8,2.6,2.44,10,109
1/1/1977 16:00,11,8,2.6,2.27,10,24
1/1/1977 17:00,11,8,2.6,2.44,10,0
1/1/1977 18:00,10,8,2.1,2.44,10,0
1/1/1977 19:00,10,8,0,0,10,0
1/1/1977 20:00,9,8,1.5,1.74,10,0
1/1/1977 21:00,9,8,1.5,1.74,10,0
1/1/1977 22:00,9,8,2.6,1.4,10,0
1/1/1977 23:00,9,8,2.1,1.74,10,0
1/2/1977 0:00,9,8,2.1,1.22,10,0
1/2/1977 1:00,9,8,3.6,1.4,10,0
1/2/1977 2:00,9,8,4.1,1.74,10,0
1/2/1977 3:00,9,8,3.6,2.09,10,0
1/2/1977 4:00,9,8,3.6,1.92,10,0
1/2/1977 5:00,9,8,4.1,1.74,10,0
1/2/1977 6:00,9,8,4.1,1.74,10,0
1/2/1977 7:00,10,8,4.1,2.09,10,21
1/2/1977 8:00,10,8,5.2,2.09,10,58
1/2/1977 9:00,11,8,4.1,2.09,10,67
1/2/1977 10:00,11,8,5.7,1.57,10,202
1/2/1977 11:00,12,8,6.7,1.57,10,217
1/2/1977 12:00,11,8,4.6,1.92,10,128
1/2/1977 13:00,12,9,5.2,1.92,10,203
1/2/1977 14:00,12,9,5.7,1.92,10,150
1/2/1977 15:00,13,10,6.2,1.74,10,90
1/2/1977 16:00,14,10,5.7,2.09,10,15
1/2/1977 17:00,14,10,6.7,2.09,10,0
1/2/1977 18:00,14,10,6.7,2.09,9,0
