DATE TIME,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO
1/1/2021 0:00,36526,7.78,5.9,0.45,2.29,10,0
1/1/2021 1:00,36526.04,7.78,5.8,2.68,1.71,10,0
1/1/2021 2:00,36526.08,7.22,5.7,2.68,1.85,10,0
1/1/2021 3:00,36526.13,7.22,5.3,2.24,1.2,10,0
1/1/2021 4:00,36526.17,7.22,3.7,1.34,1.59,10,0
1/1/2021 5:00,36526.21,6.11,3.3,1.79,1.71,10,0
1/1/2021 6:00,36526.25,6.11,2.8,2.24,1.34,10,1
1/1/2021 7:00,36526.29,7.22,3.1,0.89,1.17,0,33
1/1/2021 8:00,36526.34,6.67,4.7,1.34,4.28,2.5,171
1/1/2021 9:00,36526.38,9.44,5.8,0.89,0.93,0,319
1/1/2021 10:00,36526.42,10.56,6,0.45,5.18,0,432
1/1/2021 11:00,36526.46,12.22,5.5,0.89,1.05,0,478
1/1/2021 12:00,36526.5,12.78,4.9,0.89,3.12,0,474
1/1/2021 13:00,36526.55,12.78,4.8,2.24,3.26,4.04,363
1/1/2021 14:00,36526.59,12.78,4.7,0.89,3.67,5.62,248
1/1/2021 15:00,36526.63,12.22,4.7,0.45,3.14,5.91,138
1/1/2021 16:00,36526.67,11.11,4.6,0.89,2.44,0,23
1/1/2021 17:00,36526.71,9.44,5.1,1.34,3.53,10,0
1/1/2021 18:00,36526.76,9.44,5.2,0.89,0.05,10,0
1/1/2021 19:00,36526.8,8.89,4.7,1.79,0.23,10,0
1/1/2021 20:00,36526.84,8.33,4.6,2.68,0.82,10,1
1/1/2021 21:00,36526.88,7.22,4,3.13,1.13,10,1
1/1/2021 22:00,36526.92,6.67,3.1,3.58,1.43,10,0
1/1/2021 23:00,36526.97,7.78,2.7,1.34,1.73,10,0
1/2/2021 0:00,36527,6.67,2.9,3.58,0.94,10,0
1/2/2021 1:00,36527.04,6.67,3,1.79,0.93,10,0
1/2/2021 2:00,36527.08,7.22,3.6,3.58,0.84,10,0
1/2/2021 3:00,36527.13,6.67,3.7,3.13,0.93,10,0
1/2/2021 4:00,36527.17,6.67,2.9,2.24,1.17,10,0
1/2/2021 5:00,36527.21,6.11,2.7,1.79,1.22,10,0
1/2/2021 6:00,36527.25,6.11,2.1,3.13,1.05,10,0
1/2/2021 7:00,36527.29,6.11,2.4,2.24,0.98,0,51
1/2/2021 8:00,36527.34,8.33,4.3,0.45,1.38,7.13,120
1/2/2021 9:00,36527.38,10.56,4.6,0.89,5.24,7.99,183
1/2/2021 10:00,36527.42,11.67,5.3,0.89,3.21,5.9,315
1/2/2021 11:00,36527.46,12.78,5.6,1.34,4.22,6.17,343
1/2/2021 12:00,36527.5,13.33,5.5,0.45,4.75,6.22,341
1/2/2021 13:00,36527.55,13.89,5.4,1.34,5.22,5.96,313
1/2/2021 14:00,36527.59,15,4.5,1.79,0.86,5.56,250
1/2/2021 15:00,36527.63,15.56,3.8,0.45,3.35,0,191
1/2/2021 16:00,36527.67,13.33,4.4,1.79,3.44,0,31
1/2/2021 17:00,36527.71,12.78,4.9,0.89,5.57,10,0
1/2/2021 18:00,36527.76,12.78,5.6,1.79,0.45,10,0
1/2/2021 19:00,36527.8,12.78,5.7,0.45,1.59,10,0
1/2/2021 20:00,36527.84,12.22,5.7,0.45,1.95,10,0
1/2/2021 21:00,36527.88,11.67,6.4,0.89,0.7,10,0
1/2/2021 22:00,36527.92,11.11,6.9,1.79,1.22,10,0
1/2/2021 23:00,36527.97,7.22,6.8,4.02,1.03,10,0
1/3/2021 0:00,36528,10.56,6.3,2.24,0.75,10,0
1/3/2021 1:00,36528.04,10,6.1,2.01,0.58,10,0
1/3/2021 2:00,36528.08,10.56,5.8,1.79,0.42,10,0
1/3/2021 3:00,36528.13,10,6.5,0.89,4.92,10,0
1/3/2021 4:00,36528.17,9.44,7.1,1.34,0.87,10,0
1/3/2021 5:00,36528.21,9.44,7.3,1.34,0.79,10,0
1/3/2021 6:00,36528.25,8.89,7.6,1.34,2.88,10,0
1/3/2021 7:00,36528.29,8.89,6.9,0.89,3.14,0,25
1/3/2021 8:00,36528.34,10,7.4,0.45,0.93,7.23,119
1/3/2021 9:00,36528.38,12.78,8,0.45,6.09,4.53,272
1/3/2021 10:00,36528.42,13.89,8.3,0.89,2.48,3.14,382
1/3/2021 11:00,36528.46,14.44,8,2.24,4,5.65,362
1/3/2021 12:00,36528.5,14.44,7.8,0.45,5.17,5.02,382
1/3/2021 13:00,36528.55,15.56,8.1,0.89,3.86,6.59,293
1/3/2021 14:00,36528.59,15,8.3,0.89,3.23,6.53,227
1/3/2021 15:00,36528.63,13.89,8.3,0,2.23,7.53,114
1/3/2021 16:00,36528.67,13.33,8.1,0.45,3.4,0,29
1/3/2021 17:00,36528.71,12.78,7.9,0.45,3.68,10,0
1/3/2021 18:00,36528.76,12.22,7.9,0.89,5.76,10,0
