Date,2020_Temp
1/1/2020,7.37
1/2/2020,7.58
1/3/2020,7.53
1/4/2020,7.41
1/5/2020,7.4
1/6/2020,7.64
1/7/2020,7.52
1/8/2020,7.35
1/9/2020,7.35
1/10/2020,6.98
1/11/2020,7
1/12/2020,6.99
1/13/2020,6.97
1/14/2020,6.72
1/15/2020,6.88
1/16/2020,6.83
1/17/2020,6.92
1/18/2020,7.05
1/19/2020,7.02
1/20/2020,7.64
1/21/2020,7.46
1/22/2020,7.69
1/23/2020,7.33
1/24/2020,7.56
1/25/2020,7.34
1/26/2020,7.31
1/27/2020,7.32
1/28/2020,7.48
1/29/2020,7.4
1/30/2020,7.43
1/31/2020,7.65
2/1/2020,6.97
2/2/2020,6.5
2/3/2020,6.34
2/4/2020,6.61
2/5/2020,6.73
2/6/2020,7.01
2/7/2020,7.13
2/8/2020,7.42
2/9/2020,7.16
2/10/2020,7.25
2/11/2020,7.33
2/12/2020,7.52
2/13/2020,7.82
2/14/2020,8.14
2/15/2020,7.93
2/16/2020,7.78
2/17/2020,7.77
2/18/2020,7.66
2/19/2020,8.04
2/20/2020,8.37
2/21/2020,8.42
2/22/2020,8.65
2/23/2020,8.28
2/24/2020,8.34
2/25/2020,8.49
2/26/2020,9.11
2/27/2020,9.63
2/28/2020,9.42
2/29/2020,9.11
3/1/2020,8.88
3/2/2020,9.02
3/3/2020,9.29
3/4/2020,9.84
3/5/2020,9.85
3/6/2020,9.7
3/7/2020,10.1
3/8/2020,10.15
3/9/2020,10.66
3/10/2020,11.04
3/11/2020,11.64
3/12/2020,11.88
3/13/2020,12.13
3/14/2020,11.75
3/15/2020,10.67
3/16/2020,9.95
3/17/2020,9.34
3/18/2020,10.54
3/19/2020,9.76
3/20/2020,10.28
3/21/2020,10.61
3/22/2020,10.31
3/23/2020,10.29
3/24/2020,10.11
3/25/2020,10.06
3/26/2020,9.99
3/27/2020,10.14
3/28/2020,10.37
3/29/2020,10.83
3/30/2020,11.4
3/31/2020,11.49
4/1/2020,11.43
4/2/2020,11.15
4/3/2020,10.97
4/4/2020,10.67
4/5/2020,10.91
4/6/2020,10.73
4/7/2020,11.1
4/8/2020,11.04
4/9/2020,11.48
4/10/2020,11.62
4/11/2020,11.89
4/12/2020,12.39
4/13/2020,12.5
4/14/2020,12.93
4/15/2020,13.25
4/16/2020,12.3
4/17/2020,12.28
4/18/2020,11.45
4/19/2020,11.04
4/20/2020,11.19
4/21/2020,11.46
4/22/2020,11.39
4/23/2020,11.38
4/24/2020,11.55
4/25/2020,11.71
4/26/2020,11.54
4/27/2020,11.03
4/28/2020,11.29
4/29/2020,10.61
4/30/2020,9.95
5/1/2020,10.57
5/2/2020,10.09
5/3/2020,9.58
5/4/2020,8.93
5/5/2020,8.19
5/6/2020,7.54
5/7/2020,7.2
5/8/2020,7.78
