Date,Temperature [C]
2023-01-01,7.59
2023-01-02,7.21
2023-01-03,6.87
2023-01-04,7.08
2023-01-05,7.75
2023-01-06,7.18
2023-01-07,7.25
2023-01-08,7.62
2023-01-09,8.24
2023-01-10,8.16
2023-01-11,7.52
2023-01-12,7.27
2023-01-13,7.32
2023-01-14,7.45
2023-01-15,7.18
2023-01-16,7.03
2023-01-17,6.59
2023-01-18,6.28
2023-01-19,6.26
2023-01-20,6.23
2023-01-21,5.94
2023-01-22,5.7
2023-01-23,5.63
2023-01-24,5.58
2023-01-25,5.66
2023-01-26,5.77
2023-01-27,5.76
2023-01-28,5.94
2023-01-29,5.94
2023-01-30,5.8
2023-01-31,5.55
2023-02-01,5.43
2023-02-02,5.58
2023-02-03,5.85
2023-02-04,5.95
2023-02-05,6.61
2023-02-06,6.41
2023-02-07,6.18
2023-02-08,6.24
2023-02-09,6.25
2023-02-10,6.69
2023-02-11,6.97
2023-02-12,6.73
2023-02-13,6.69
2023-02-14,6.96
2023-02-15,6.43
2023-02-16,6.06
2023-02-17,5.88
2023-02-18,5.94
2023-02-19,6.09
2023-02-20,6.35
2023-02-21,6.71
2023-02-22,6.47
2023-02-23,6.05
2023-02-24,5.9
2023-02-25,5.71
2023-02-26,5.87
2023-02-27,6.14
2023-02-28,5.93
2023-03-01,6.19
2023-03-02,6.26
2023-03-03,6.59
2023-03-04,6.63
2023-03-05,6.26
2023-03-06,6.2
2023-03-07,6.19
2023-03-08,6.03
2023-03-09,5.53
2023-03-10,5.83
2023-03-11,6.25
2023-03-12,6.8
2023-03-13,7.11
2023-03-14,7.22
2023-03-15,6.83
2023-03-16,7.01
2023-03-17,6.92
2023-03-18,7.02
2023-03-19,6.92
2023-03-20,6.89
2023-03-21,7.09
2023-03-22,6.67
2023-03-23,6.58
2023-03-24,6.63
2023-03-25,6.53
2023-03-26,6.43
2023-03-27,6.29
2023-03-28,6.3
2023-03-29,6.58
2023-03-30,6.31
2023-03-31,6.48
2023-04-01,7.39
2023-04-02,7.33
2023-04-03,7.38
2023-04-04,6.91
2023-04-05,6.7
2023-04-06,7.03
2023-04-07,7.63
2023-04-08,8.56
2023-04-09,9.13
2023-04-10,9.25
2023-04-11,9.2
2023-04-12,9.16
2023-04-13,8.81
2023-04-14,8.6
2023-04-15,8.91
2023-04-16,8.94
2023-04-17,8.95
2023-04-18,8.74
2023-04-19,8.3
2023-04-20,8.36
2023-04-21,8.66
2023-04-22,8.94
2023-04-23,9.41
2023-04-24,9.58
2023-04-25,9.74
2023-04-26,9.74
2023-04-27,9.89
2023-04-28,10.03
2023-04-29,10.12
2023-04-30,10.15
2023-05-01,9.72
2023-05-02,8.96
2023-05-03,8.73
2023-05-04,8.73
2023-05-05,8.63
2023-05-06,8.72
2023-05-07,9.01
2023-05-08,9.29
2023-05-09,9.36
2023-05-10,9.38
2023-05-11,9.67
2023-05-12,10.05
2023-05-13,10.45
2023-05-14,10.8
2023-05-15,10.66
2023-05-16,10.57
2023-05-17,10.64
2023-05-18,10.52
2023-05-19,10.41
2023-05-20,10.47
2023-05-21,10.73
2023-05-22,10.93
2023-05-23,10.76
2023-05-24,10.54
2023-05-25,10.5
2023-05-26,10.5
2023-05-27,10.61
2023-05-28,10.86
2023-05-29,10.96
2023-05-30,10.86
2023-05-31,10.86
2023-06-01,11.07
2023-06-02,11.19
2023-06-03,11.33
2023-06-04,11.54
2023-06-05,11.69
2023-06-06,11.44
2023-06-07,11.13
2023-06-08,11.04
2023-06-09,11.23
2023-06-10,11.43
2023-06-11,11.57
2023-06-12,11.61
2023-06-13,11.58
2023-06-14,11.77
2023-06-15,11.89
2023-06-16,12.01
2023-06-17,12.12
2023-06-18,12.18
2023-06-19,12.15
2023-06-20,11.82
2023-06-21,11.73
2023-06-22,11.68
2023-06-23,11.73
2023-06-24,11.79
2023-06-25,12
2023-06-26,12.16
2023-06-27,12.19
2023-06-28,12.35
2023-06-29,12.62
2023-06-30,12.84
2023-07-01,13.28
2023-07-02,13.44
2023-07-03,13.41
2023-07-04,13.34
2023-07-05,13.34
2023-07-06,13.3
2023-07-07,13.33
2023-07-08,13.42
2023-07-09,13.59
2023-07-10,13.63
2023-07-11,13.85
2023-07-12,14.1
2023-07-13,14.16
2023-07-14,14.28
2023-07-15,14.55
2023-07-16,15.03
2023-07-17,15.26
2023-07-18,15.28
2023-07-19,15.57
2023-07-20,15.74
2023-07-21,15.92
2023-07-22,16.1
2023-07-23,16.28
2023-07-24,16.37
2023-07-25,16.37
2023-07-26,16.59
2023-07-27,16.69
2023-07-28,16.96
2023-07-29,17.04
2023-07-30,17.12
2023-07-31,17.08
2023-08-01,16.85
2023-08-02,17.11
2023-08-03,17.83
2023-08-04,17.74
2023-08-05,17.74
2023-08-06,18
2023-08-07,18.43
2023-08-08,18.37
2023-08-09,17.99
2023-08-10,17.69
2023-08-11,17.75
2023-08-12,17.61
2023-08-13,17.25
2023-08-14,17.63
2023-08-15,17.43
2023-08-16,17.33
2023-08-17,18.01
2023-08-18,17.84
2023-08-19,17.26
2023-08-20,16.59
2023-08-21,17.38
2023-08-22,17.45
2023-08-23,17.16
2023-08-24,17.22
2023-08-25,17.59
2023-08-26,17.23
2023-08-27,17.03
2023-08-28,16.88
2023-08-29,16.89
2023-08-30,16.8
2023-08-31,16.67
2023-09-01,16.45
2023-09-02,15.91
2023-09-03,16.05
2023-09-04,16.27
2023-09-05,16.19
2023-09-06,16.44
2023-09-07,16.64
2023-09-08,16.71
2023-09-09,16.86
2023-09-10,17.31
2023-09-11,17.16
2023-09-12,16.98
2023-09-13,16.96
2023-09-14,16.95
2023-09-15,17.22
2023-09-16,17.65
2023-09-17,17.68
2023-09-18,17.51
2023-09-19,17.27
2023-09-20,17.17
2023-09-21,17.05
2023-09-22,17.04
2023-09-23,16.78
2023-09-24,16.54
2023-09-25,16.62
2023-09-26,16.75
2023-09-27,16.86
2023-09-28,16.99
2023-09-29,17.04
2023-09-30,16.91
2023-10-01,16.49
2023-10-02,16.36
2023-10-03,16.27
2023-10-04,16.06
2023-10-05,16.48
2023-10-06,16.29
2023-10-07,16.98
2023-10-08,16.87
2023-10-09,16.64
2023-10-10,16.29
2023-10-11,16.64
2023-10-12,16.37
2023-10-13,16.15
2023-10-14,16.05
2023-10-15,15.99
2023-10-16,15.96
2023-10-17,15.9
2023-10-18,16.04
2023-10-19,16.15
2023-10-20,16.15
2023-10-21,15.95
2023-10-22,15.98
2023-10-23,15.99
2023-10-24,15.86
2023-10-25,15.65
2023-10-26,15.58
2023-10-27,15.24
2023-10-28,15.02
2023-10-29,14.81
2023-10-30,14.61
2023-10-31,14.5
2023-11-01,14.34
2023-11-02,14.17
2023-11-03,14.15
2023-11-04,14.21
2023-11-05,14.19
2023-11-06,14.24
2023-11-07,14.32
2023-11-08,13.8
2023-11-09,13.47
2023-11-10,12.71
2023-11-11,12.53
2023-11-12,12.34
2023-11-13,12.38
2023-11-14,12.15
2023-11-15,12.13
2023-11-16,12.78
2023-11-17,12.81
2023-11-18,13.13
2023-11-19,12.99
2023-11-20,12.01
2023-11-21,11.49
2023-11-22,11.41
2023-11-23,11.68
2023-11-24,11.36
2023-11-25,10.82
2023-11-26,10.35
2023-11-27,10.02
2023-11-28,10.34
2023-11-29,10.5
2023-11-30,10.05
2023-12-01,10.47
2023-12-02,10.03
2023-12-03,9.96
2023-12-04,9.89
2023-12-05,9.56
2023-12-06,9.79
2023-12-07,9.99
2023-12-08,9.37
2023-12-09,9
2023-12-10,8.97
2023-12-11,8.98
2023-12-12,8.84
2023-12-13,8.67
2023-12-14,8.65
2023-12-15,8.63
2023-12-16,8.32
2023-12-17,8.39
2023-12-18,8.96
2023-12-19,9.69
2023-12-20,10.01
2023-12-21,10.2
2023-12-22,9.7
2023-12-23,9.57
2023-12-24,9.21
2023-12-25,9.22
2023-12-26,9.12
2023-12-27,9.02
2023-12-28,8.77
2023-12-29,8.82
2023-12-30,8.97
2023-12-31,8.95
2024-01-01,8.95
