Elev_m,Temp_C,TDS_mgl,DO_mgl
163.4816136,17.34944444,36,8.75
162.5733096,17.07944444,36,8.8
161.6805504,16.59111111,36,8.86
158.6493144,15.44,36,9.05
155.5680912,12.71388889,36,9.08
152.5109472,10.97111111,36,9.08
149.5111056,10.205,36,9.08
146.413728,9.706666667,36,9
143.3599368,9.473333333,36,8.93
140.3469888,9.386666667,33,9.18
137.2743,9.216666667,29,9.63
134.1863712,9.166666667,27,9.59
131.2130472,9.041111111,27,9.01
128.1997944,8.945555556,27,8.9
125.073156,8.849444444,28,8.35
121.9751688,8.787777778,30,8.08
118.8473112,8.702222222,30,7.92
115.9736568,8.611666667,31,7.84
112.8778032,8.592777778,32,7.84
109.8928968,8.562777778,32,7.84
106.7565048,8.531111111,33,7.85
103.766112,8.515555556,33,7.88
100.8528336,8.511111111,34,7.98
100.2481104,8.527222222,35,8.12
