Date,SPL_OUT,FKC_OUT,MC_OUT,SJR_OUT,M_IN,MIL_EVAP
1/1/2022,0,1995,105,640,1909.00,5.52
1/2/2022,0,2059,105,650,1849.00,4.96
1/3/2022,0,2198,128,650,1716.00,8.23
1/4/2022,0,2333,162,649,342.00,9.41
1/5/2022,0,2371,170,648,669.00,6.71
1/6/2022,0,2400,170,646,657.00,0.64
1/7/2022,0,2409,167,647,605.00,4.59
1/8/2022,0,2381,165,650,891.00,7.04
1/9/2022,0,2375,164,652,1076.00,12.67
1/10/2022,0,2243,163,652,631.00,0.82
1/11/2022,0,2207,151,651,491.00,7.55
1/12/2022,0,1721,145,650,703.00,9.07
1/13/2022,0,1544,142,650,1067.00,0.91
1/14/2022,0,1301,142,649,1075.00,2.09
1/15/2022,0,1090,141,649,903.00,4.90
1/16/2022,0,1044,141,648,883.00,13.99
1/17/2022,0,1191,137,649,965.00,5.81
1/18/2022,0,1149,135,649,813.00,10.93
1/19/2022,0,1213,141,647,872.00,3.03
1/20/2022,0,1224,149,649,872.00,2.30
1/21/2022,0,957,148,650,753.00,9.33
1/22/2022,0,746,148,650,849.00,10.08
1/23/2022,0,649,148,650,722.00,6.99
1/24/2022,0,713,148,649,853.00,8.13
1/25/2022,0,758,148,648,882.00,18.82
1/26/2022,0,698,149,637,861.00,10.89
1/27/2022,0,652,121,592,543.00,16.65
1/28/2022,0,599,19,556,569.00,10.15
1/29/2022,0,554,0,525,830.00,10.72
1/30/2022,0,636,0,495,935.00,2.07
1/31/2022,0,731,0,472,1015.00,6.93
2/1/2022,0,780,0,451,1428.00,7.72
2/2/2022,0,796,0,446,1405.00,8.44
2/3/2022,0,766,0,446,1531.00,11.22
2/4/2022,0,686,0,446,936.00,6.50
2/5/2022,0,614,0,447,947.00,11.08
2/6/2022,0,593,0,446,981.00,10.50
2/7/2022,0,865,0,414,806.00,19.13
2/8/2022,0,987,0,395,782.00,20.44
2/9/2022,0,907,0,385,353.00,24.19
2/10/2022,0,850,0,387,272.00,15.26
2/11/2022,0,683,0,387,269.00,23.82
2/12/2022,0,535,0,387,606.00,22.17
2/13/2022,0,642,0,387,1153.00,11.36
2/14/2022,0,781,0,387,774.00,10.26
2/15/2022,0,903,0,395,431.00,10.55
2/16/2022,0,1055,0,400,976.00,25.24
2/17/2022,0,980,0,400,1439.00,18.80
2/18/2022,0,881,0,400,1688.00,21.86
2/19/2022,0,770,0,400,1816.00,8.25
2/20/2022,0,895,0,400,1455.00,11.54
2/21/2022,0,1048,0,400,1274.00,8.42
2/22/2022,0,1227,0,400,1585.00,11.40
2/23/2022,0,1352,0,421,1919.00,14.08
2/24/2022,0,1325,0,903,1871.00,13.76
2/25/2022,0,945,0,1003,1810.00,-384.42
2/26/2022,0,986,0,400,1626.00,36.60
2/27/2022,0,532,0,499,1422.00,20.20
2/28/2022,0,227,0,574,1041.00,6.61
3/1/2022,0,72,0,648,1016.00,60.45
3/2/2022,0,72,0,648,1154.00,18.69
3/3/2022,0,77,0,681,1542.00,7.33
3/4/2022,0,58,0,701,545.00,2.69
3/5/2022,0,68,0,667,1078.00,22.66
3/6/2022,0,49,0,651,1613.00,15.08
3/7/2022,0,105,0,642,1722.00,18.53
3/8/2022,0,64,0,631,1680.00,26.88
3/9/2022,0,106,0,631,1628.00,5.55
3/10/2022,0,0,0,631,1417.00,49.87
3/11/2022,0,0,0,631,1427.00,18.36
3/12/2022,0,0,0,631,1575.00,21.17
3/13/2022,0,0,0,632,1300.00,15.79
3/14/2022,0,84,0,632,1364.00,19.29
3/15/2022,0,101,0,600,1231.00,16.99
3/16/2022,0,100,0,580,820.00,26.93
3/17/2022,0,117,0,580,1340.00,19.56
3/18/2022,0,100,0,580,1480.00,10.29
3/19/2022,0,100,0,581,1988.00,14.42
3/20/2022,0,100,0,583,1555.00,17.56
3/21/2022,0,132,0,616,1123.00,24.10
