,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO
1/1/2018 0:00,35430,10.56,2.31,2.24,1.5,4.49,6
1/1/2018 1:00,35430.04,10,1.54,1.79,1.73,4.65,6
1/1/2018 2:00,35430.08,8.33,0.47,2.24,1.69,4.8,6
1/1/2018 3:00,35430.13,8.33,0.47,3.13,1.54,4.96,6
1/1/2018 4:00,35430.17,9.44,1.02,1.79,1.4,5.12,6
1/1/2018 5:00,35430.21,8.89,0.5,1.79,1.41,5.28,6
1/1/2018 6:00,35430.25,6.67,-0.86,0.45,2.57,5.43,6
1/1/2018 7:00,35430.29,6.67,0.26,1.79,1.38,5.59,28
1/1/2018 8:00,35430.34,10,1.79,0.89,1.78,5.75,141
1/1/2018 9:00,35430.38,11.11,3.56,0.45,4.82,5.91,245
1/1/2018 10:00,35430.42,12.78,4.65,1.34,1.2,6.06,338
1/1/2018 11:00,35430.46,18.33,7.07,0.45,6.23,6.22,362
1/1/2018 12:00,35430.5,21.11,8,1.34,4.99,6.38,382
1/1/2018 13:00,35430.55,20,6.29,1.34,4.38,6.26,349
1/1/2018 14:00,35430.59,19.44,5.43,0.45,5.24,6.03,282
1/1/2018 15:00,35430.63,19.44,6.14,0.45,1.69,6.2,144
1/1/2018 16:00,35430.67,14.44,3.49,0.89,4.66,6.38,27
1/1/2018 17:00,35430.71,13.33,3.32,0.45,5.62,6.56,6
1/1/2018 18:00,35430.76,12.78,4.4,1.79,1.57,6.73,6
1/1/2018 19:00,35430.8,12.22,3.88,1.79,1.68,6.91,6
1/1/2018 20:00,35430.84,11.11,4.03,2.68,1.45,7.09,6
1/1/2018 21:00,35430.88,10,2.98,0.89,2.6,7.26,6
1/1/2018 22:00,35430.92,9.44,3.13,3.13,1.66,7.44,6
1/1/2018 23:00,35430.97,10,2.75,1.34,1.36,4.33,6
1/2/2018 0:00,35431,10,4.09,2.68,1.82,7.79,6
1/2/2018 1:00,35431.04,10,4.09,4.02,1.62,7.97,6
1/2/2018 2:00,35431.08,9.44,2.91,3.13,1.94,8.15,6
1/2/2018 3:00,35431.13,10,3.43,1.79,1.43,8.32,6
1/2/2018 4:00,35431.17,8.89,3.03,3.13,1.82,8.5,6
1/2/2018 5:00,35431.21,10,3.21,0.89,3.87,8.68,6
1/2/2018 6:00,35431.25,8.89,2.82,1.34,1.33,8.85,6
1/2/2018 7:00,35431.29,8.89,3.03,1.79,1.85,9.03,13
1/2/2018 8:00,35431.34,10.56,4.41,1.79,1.12,9.21,62
1/2/2018 9:00,35431.38,11.11,4.03,1.34,1.34,9.38,133
1/2/2018 10:00,35431.42,13.33,5.9,0.89,3.56,9.56,159
1/2/2018 11:00,35431.46,13.33,5.42,0.89,1.12,9.74,180
1/2/2018 12:00,35431.5,15,5.96,0,4.21,9.91,188
1/2/2018 13:00,35431.55,16.11,6.18,0.89,6.21,9.81,176
1/2/2018 14:00,35431.59,15,4.87,0.45,4.63,9.87,136
1/2/2018 15:00,35431.63,15,5.15,1.34,6,9.87,101
1/2/2018 16:00,35431.67,13.33,4.4,0.89,4.45,9.88,29
1/2/2018 17:00,35431.71,12.78,4.9,1.34,0.73,9.88,6
1/2/2018 18:00,35431.76,11.67,4.56,0.45,3.89,9.89,6
1/2/2018 19:00,35431.8,11.11,5.15,1.79,1.12,9.9,6
1/2/2018 20:00,35431.84,9.44,3.56,0.45,4.57,9.9,6
1/2/2018 21:00,35431.88,10,4.09,0.45,4.07,9.91,6
1/2/2018 22:00,35431.92,8.89,3.24,1.79,1.59,9.91,6
1/2/2018 23:00,35431.97,10,3.21,3.13,1.94,7.62,6
1/3/2018 0:00,35432,10.56,4.84,2.68,1.62,9.93,6
1/3/2018 1:00,35432.04,10.56,4.84,3.13,1.85,9.93,6
1/3/2018 2:00,35432.08,11.11,4.49,1.79,1.64,9.94,6
1/3/2018 3:00,35432.13,10,3.43,1.79,1.52,9.94,6
1/3/2018 4:00,35432.17,10,3.88,1.34,1.62,9.95,6
1/3/2018 5:00,35432.21,10,3.21,0.45,5.46,9.96,6
1/3/2018 6:00,35432.25,9.44,3.77,2.24,1.22,9.96,6
1/3/2018 7:00,35432.29,11.11,4.94,0.45,1.94,9.97,33
1/3/2018 8:00,35432.34,11.67,5.02,3.13,1.52,9.98,154
1/3/2018 9:00,35432.38,17.78,7.45,1.79,4.64,9.98,291
1/3/2018 10:00,35432.42,17.22,6.35,0.89,0.96,9.99,282
1/3/2018 11:00,35432.46,19.44,6.81,0.45,3.49,9.99,232
1/3/2018 12:00,35432.5,18.89,5.28,0.45,0.66,10,146
1/3/2018 13:00,35432.55,18.89,3.81,1.34,1.2,10,136
1/3/2018 14:00,35432.59,18.89,2.62,1.79,1.26,10,80
1/3/2018 15:00,35432.63,17.22,3.06,0.89,4.69,9.81,55
1/3/2018 16:00,35432.67,13.89,3.84,0.45,4.82,9.63,18
1/3/2018 17:00,35432.71,13.89,4.39,2.24,2.06,9.44,6
1/3/2018 18:00,35432.76,16.11,5.32,1.34,4.28,9.25,6
1/3/2018 19:00,35432.8,15.56,4.81,2.24,1.55,9.07,6
1/3/2018 20:00,35432.84,16.67,2.92,0.89,4.12,8.88,6
1/3/2018 21:00,35432.88,12.78,3.89,1.34,4.59,8.69,6
1/3/2018 22:00,35432.92,12.22,5.09,0.89,3.72,8.51,6
1/3/2018 23:00,35432.97,10.56,5.26,5.36,1.55,9.92,6
1/4/2018 0:00,35433,16.11,5.02,2.24,1.12,8.13,6
1/4/2018 1:00,35433.04,15,3.7,1.34,4.71,7.95,6
1/4/2018 2:00,35433.08,13.89,4.66,2.24,1.41,7.76,6
1/4/2018 3:00,35433.13,12.22,3.62,1.79,1.24,7.57,5
1/4/2018 4:00,35433.17,11.67,5.02,2.24,0.58,7.39,0
1/4/2018 5:00,35433.21,13.33,7.28,6.71,1.29,7.2,6
1/4/2018 6:00,35433.25,12.78,6.3,4.47,1.95,7.01,5
1/4/2018 7:00,35433.29,13.33,7.28,1.34,2.84,6.82,24
1/4/2018 8:00,35433.34,16.67,9.3,0.89,4.05,6.64,74
1/4/2018 9:00,35433.38,16.67,10.47,0.45,3.84,6.45,238
1/4/2018 10:00,35433.42,17.22,11,2.24,3.87,6.26,287
1/4/2018 11:00,35433.46,21.67,13.27,4.02,3.87,6.08,414
1/4/2018 12:00,35433.5,20,11.7,2.24,3.8,5.89,405
1/4/2018 13:00,35433.55,21.67,13.01,2.24,3.3,7.97,277
1/4/2018 14:00,35433.59,22.78,13.24,1.34,2.64,6.11,282
1/4/2018 15:00,35433.63,21.11,12.22,0.89,3.47,6.1,168
1/4/2018 16:00,35433.67,17.78,11.07,0.45,1.9,6.09,49
1/4/2018 17:00,35433.71,15.56,10.06,2.68,1.88,6.09,6
1/4/2018 18:00,35433.76,16.11,10.81,3.13,1.54,6.08,6
1/4/2018 19:00,35433.8,16.11,10.81,2.24,1.66,6.07,6
1/4/2018 20:00,35433.84,15,9.74,2.24,1.87,6.06,6
1/4/2018 21:00,35433.88,13.89,9.09,1.79,1.95,6.05,6
1/4/2018 22:00,35433.92,13.89,9.29,2.68,2.04,6.04,6
1/4/2018 23:00,35433.97,13.89,4.92,3.13,1.78,8.32,6
1/5/2018 0:00,35434,14.44,10.43,3.13,1.5,6.02,6
1/5/2018 1:00,35434.04,13.89,10.08,2.24,1.8,6.01,6
1/5/2018 2:00,35434.08,12.78,9,3.13,1.62,6.01,6
1/5/2018 3:00,35434.13,12.78,9.19,2.24,1.8,6,6
1/5/2018 4:00,35434.17,12.78,9,2.68,1.62,5.99,6
1/5/2018 5:00,35434.21,12.78,9,2.24,1.61,5.98,6
1/5/2018 6:00,35434.25,12.22,8.46,2.68,1.17,5.97,6
1/5/2018 7:00,35434.29,13.33,9.73,2.24,1.88,5.96,22
1/5/2018 8:00,35434.34,13.89,9.69,1.79,1.29,5.95,129
1/5/2018 9:00,35434.38,18.89,13.48,0.45,1.1,5.94,259
1/5/2018 10:00,35434.42,17.78,11.75,0.89,1.08,5.93,301
1/5/2018 11:00,35434.46,23.33,15.36,0.89,3.23,5.93,440
1/5/2018 12:00,35434.5,22.78,13.79,0.89,2.32,5.92,405
1/5/2018 13:00,35434.55,23.89,13.41,0.45,3.54,5.35,385
1/5/2018 14:00,35434.59,25,13.84,1.34,3.63,5.76,293
1/5/2018 15:00,35434.63,22.78,11.78,0.89,2.62,5.96,139
1/5/2018 16:00,35434.67,19.44,9.84,0.45,1.83,6.15,24
1/5/2018 17:00,35434.71,17.78,8.83,0.45,4.08,6.34,6
1/5/2018 18:00,35434.76,17.22,9.34,1.34,2.01,6.53,6
1/5/2018 19:00,35434.8,17.22,9.83,0.89,0.7,6.73,6
1/5/2018 20:00,35434.84,16.11,9.25,0.45,1.54,6.92,6
1/5/2018 21:00,35434.88,16.11,9.48,0.89,2.09,7.11,6
1/5/2018 22:00,35434.92,15,8.87,0.89,1.13,7.3,6
1/5/2018 23:00,35434.97,13.89,9.49,1.79,1.61,6.03,6
1/6/2018 0:00,35435,15.56,9.4,2.68,1.43,7.69,6
1/6/2018 1:00,35435.04,15.56,9.84,1.34,0.94,7.88,6
1/6/2018 2:00,35435.08,15,9.74,1.34,1.27,8.07,6
1/6/2018 3:00,35435.13,13.89,9.49,0.45,3.04,8.27,6
1/6/2018 4:00,35435.17,14.44,10.23,1.34,4.59,8.46,6
1/6/2018 5:00,35435.21,12.78,9.57,0.45,4.35,8.65,6
1/6/2018 6:00,35435.25,13.33,10.66,2.68,1.62,8.84,2
