$

Date,M_IN
35429,22.71
35430,21.58
35431,22.82
35432,21.83
35433,16.51
35434,13.99
35435,12.97
35436,18.09
35437,22.31
35438,18.75
35439,19.94
35440,19.71
35441,25.43
35442,25.6
35443,21.66
35444,21.97
35445,28.77
35446,35.25
35447,32.0
35448,33.78
35449,19.68
35450,27.95
35451,27.98
35452,29.9
35453,37.46
35454,30.67
35455,36.9
35456,30.16
35457,25.74
35458,25.57
35459,31.63
35460,26.59
35461,25.8
35462,16.48
35463,20.19
35464,16.79
35465,15.6
35466,20.25
35467,19.03
35468,16.65
35469,11.16
35470,12.15
35471,12.77
35472,10.93
35473,9.74
35474,10.87
35475,9.15
35476,4.47
35477,6.94
35478,11.04
35479,5.47
35480,3.6
35481,5.41
35482,6.14
35483,5.55
35484,6.12
35485,9.23
35486,8.95
35487,8.27
35488,11.36
35489,34.24
35490,41.37
35491,18.8
35492,17.33
35493,15.6
35494,21.95
35495,14.92
35496,11.61
35497,15.09
35498,14.27
35499,10.42
35500,18.63
35501,29.36
35502,27.41
35503,26.96
35504,24.75
35505,21.58
35506,20.47
35507,25.99
35508,52.95
35509,325.42
35510,234.35
35511,85.26
35512,56.52
35513,52.27
35514,54.42
35515,60.31
35516,58.25
35517,68.1
35518,62.75
35519,59.83
35520,64.36
35521,57.62
35522,39.39
35523,52.36
35524,75.72
35525,322.75
35526,430.25
35527,248.51
35528,193.66
35529,162.45
35530,149.68
35531,121.17
35532,109.73
35533,110.04
35534,111.29
35535,112.45
35536,99.93
35537,105.34
35538,97.47
35539,91.04
35540,68.27
35541,107.94
35542,126.15
35543,135.18
35544,146.96
35545,145.75
35546,151.61
35547,130.99
35548,118.73
35549,85.74
35550,97.61
35551,82.52
35552,85.18
35553,94.35
35554,93.87
35555,102.22
35556,126.35
35557,134.59
35558,141.1
35559,146.28
35560,125.7
35561,114.17
35562,105.65
35563,107.69
35564,108.82
35565,97.72
35566,98.2
35567,96.19
35568,96.25
35569,92.31
35570,87.95
35571,91.72
35572,85.18
35573,118.05
35574,110.35
35575,84.1
35576,76.85
35577,87.61
35578,86.79
35579,91.43
35580,96.25
35581,99.31
35582,95.17
35583,90.08
35584,86.45
35585,91.52
35586,82.66
35587,84.84
35588,98.4
35589,83.05
35590,83.68
35591,91.41
35592,94.13
35593,69.26
35594,68.98
35595,62.67
35596,69.69
35597,78.78
35598,80.36
35599,69.6
35600,51.0
35601,51.85
35602,51.56
35603,52.87
35604,50.52
35605,48.99
35606,47.2
35607,44.32
35608,42.56
35609,48.17
35610,50.72
35611,52.19
35612,53.52
35613,49.92
35614,52.07
35615,53.86
35616,59.81
35617,56.07
35618,54.45
35619,55.7
35620,56.75
35621,56.01
35622,53.18
35623,55.33
35624,54.88
35625,56.21
35626,49.75
35627,65.81
35628,70.82
35629,61.82
35630,57.54
35631,58.56
35632,83.51
35633,80.53
35634,84.04
35635,92.11
35636,83.62
35637,82.35
35638,79.43
35639,83.45
35640,85.6
35641,66.86
35642,61.93
35643,62.35
35644,48.62
35645,49.27
35646,48.11
35647,51.59
35648,63.23
35649,58.33
35650,47.74
35651,41.77
35652,42.48
35653,46.64
35654,45.28
35655,41.09
35656,43.92
35657,38.06
35658,38.62
35659,38.68
35660,46.38
35661,37.86
35662,36.78
35663,36.9
35664,35.28
35665,35.59
35666,34.09
35667,38.85
35668,46.01
35669,32.22
35670,33.67
35671,29.25
35672,31.54
35673,34.32
35674,37.83
35675,36.13
35676,44.29
35677,41.26
35678,43.78
35679,45.39
35680,47.15
35681,44.94
35682,55.59
35683,36.27
35684,30.27
35685,44.03
35686,31.74
35687,23.73
35688,26.19
35689,32.71
35690,41.97
35691,39.64
35692,42.96
35693,39.98
35694,35.4
35695,56.27
35696,36.16
35697,45.53
35698,47.8
35699,48.05
35700,57.77
35701,42.08
35702,19.62
35703,31.8
35704,32.22
35705,28.63
35706,29.42
35707,30.95
35708,32.71
35709,35.65
35710,30.81
35711,26.76
35712,26.9
35713,22.46
35714,34.46
35715,35.03
35716,38.4
35717,35.25
35718,33.58
35719,31.57
35720,29.22
35721,33.39
35722,35.54
35723,35.88
35724,35.57
35725,35.74
35726,39.42
35727,38.37
35728,43.27
35729,42.19
35730,36.56
35731,36.19
35732,43.64
35733,36.7
35734,29.42
35735,26.16
35736,27.64
35737,26.48
35738,42.11
35739,25.32
35740,16.54
35741,18.86
35742,17.58
35743,21.12
35744,34.63
35745,28.03
35746,27.92
35747,27.41
35748,29.53
35749,24.83
35750,35.03
35751,29.05
35752,26.9
35753,37.38
35754,29.59
35755,26.11
35756,24.21
35757,22.96
35758,21.35
35759,25.91
35760,41.34
35761,27.47
35762,35.34
35763,39.93
35764,24.98
35765,26.02
35766,22.2
35767,13.25
35768,14.22
35769,13.65
35770,16.11
35771,11.69
35772,13.68
35773,16.14
35774,20.93
35775,17.33
35776,19.4
35777,17.13
35778,18.55
35779,21.63
35780,18.89
35781,18.92
35782,20.44
35783,17.3
35784,18.83
35785,17.44
35786,22.23
35787,18.38
35788,18.18
35789,18.94
35790,24.3
35791,22.17
35792,20.76
35793,14.38
