$,,,,,
,,,,,
Date,SPL_OUT,FKC_OUT,MC_OUT,SJR_OUT,TEST_OUT
35429,0,7.84,0,10.76,1
35430,0,7.84,0,10.76,1
35431,0,7.84,0,10.76,1
35432,0,7.84,0,11.02,1
35433,0,7.84,0,11.19,1
35434,0,7.84,0,11.19,1
35435,0,2.61,0,11.19,1
35436,0,0,0,11.19,1
35437,0,5.24,0,10.93,1
35438,0,7.84,0,10.62,1
35439,0,7.84,0,10.62,1
35440,0,7.84,0,10.62,1
35441,0,7.87,0,10.82,1
35442,0,7.87,0,10.9,1
35443,0,7.87,0,10.9,1
35444,0,7.87,0,11.24,1
35445,0,3.62,0,11.5,1
35446,0,0,0,11.5,1
35447,0,3.28,0,11.5,1
35448,0,7.93,0,11.5,1
35449,0,7.93,0,11.5,1
35450,0,7.93,0,11.5,1
35451,0,2.66,0,11.5,1
35452,0,3.99,0,11.5,1
35453,0,7.99,0,11.5,1
35454,0,2.32,0,11.5,1
35455,0,0,0,11.5,1
35456,0,0,0,11.5,1
35457,0,5.35,0,11.5,1
35458,0,8.04,0,11.5,1
35459,0,8.04,0,11.84,1
35460,0,9.12,0,12.03,1
35461,0,11.07,0,12.03,1
35462,0,13.42,0,14.89,1
35463,0,16.31,0,16.28,1
35464,0,24.35,0,16.28,1
35465,0,28.71,0,13.45,1
35466,0,27.3,0,12.03,1
35467,0,30.67,0,12.03,1
35468,0,30.44,0,12.03,1
35469,0,31.49,0,12.03,1
35470,0,35.31,0,12.03,1
35471,0,37.01,0,12.01,1
35472,0,36.78,0,12.01,1
35473,0,35.74,0,10.59,1
35474,0,30.21,0,9.91,1
35475,0,25.51,0,9.91,1
35476,0,11.19,0,9.91,1
35477,0,13.14,0,9.91,1
35478,0,19.2,0,9.91,1
35479,0,23.36,0,12.74,1
35480,0,24.21,3.99,14.16,1
35481,0,21.75,0,13.88,1
35482,0,18.18,0,10.45,1
35483,0,15.66,0,8.5,1
35484,0,15.66,0,8.5,1
35485,0,15.66,0,8.5,1
35486,0,10.9,0,8.5,1
35487,0,7.5,0,8.5,1
35488,0,2.66,0,8.86,1
35489,0,0,0,9.06,1
35490,0,0,0,8.69,1
35491,0,0,0,8.5,1
35492,0,0,0,8.5,1
35493,0,0,0,8.5,1
35494,0,0,0,8.5,1
35495,0,0,0,8.5,1
35496,0,0,0,8.5,1
35497,0,0,0,8.5,1
35498,0,0,0,8.5,1
35499,0,0,0,8.5,1
35500,0,4.76,0,8.5,1
35501,0,5.3,0,8.5,1
35502,0,0,0,8.5,1
35503,0,0,0,8.5,1
35504,0,0,0,8.5,1
35505,0,0,0,8.5,1
35506,0,0,0,8.5,1
35507,0,0,0,8.5,1
35508,0,0,0,8.5,1
35509,0,0,0,6.94,1
35510,0,0,0,3.74,1
35511,0,3.45,0,7.93,1
35512,0,8.3,0,8.5,1
35513,0,14.61,0,8.5,1
35514,0,21.95,0,8.5,1
35515,0,25.2,0,9.43,1
35516,0,26.05,0,9.91,1
35517,0,23.73,0,9.91,1
35518,0,22.06,0,9.91,1
35519,0,24.3,0,9.91,1
35520,0,33.75,0,9.91,1
35521,0,38.06,0,9.91,1
35522,0,37.38,0,18.75,1
35523,0,33.95,0,13.34,1
35524,0,25.91,0,10.39,1
35525,0,16.91,1.67,9.91,1
35526,0,25.99,2.04,9.91,1
35527,0,40.1,3.82,9.91,1
35528,0,67.25,9.37,9.91,1
35529,0,79.8,17.98,9.91,1
35530,0,87.13,21.44,9.94,1
35531,0,85.77,21.41,9.94,1
35532,0,80.73,21.83,9.91,1
35533,0,84.27,22.77,9.91,1
35534,0,91.07,23.05,9.91,1
35535,0,95.09,22.34,9.91,1
35536,0,98.71,22.74,9.91,1
35537,0,103.72,23.05,9.91,1
35538,0,102.17,23.05,10.36,1
35539,0,99.87,22.96,10.76,1
35540,0,104.6,23.36,10.76,1
35541,0,110.63,25.34,10.76,1
35542,0,117.2,28.4,10.76,1
35543,0,120.23,29,10.76,1
35544,0,119.47,29.39,10.76,1
35545,0,110.32,30.21,10.76,1
35546,0,99.56,28.77,10.76,1
35547,0,93.3,25.68,10.76,1
35548,0,94.18,26.11,11.07,1
35549,0,98.09,28.43,11.27,1
35550,0,97.41,29.56,11.24,1
35551,0,96.28,29.45,11.1,1
35552,0,92.28,28.12,11.04,1
35553,0,86.08,26.65,11.04,1
35554,0,91.86,25.17,10.53,1
35555,0,103.55,25.71,10.19,1
35556,0,110.18,26.87,10.19,1
35557,0,107.69,27.21,10.56,1
35558,0,82.6,25.99,10.76,1
35559,0,53.89,24.44,10.76,1
35560,0,29.79,22.94,11.16,1
35561,0,31.6,21.38,11.33,1
35562,0,40.01,21.38,11.36,1
35563,0,44.71,20.81,11.33,1
35564,0,46.13,20.53,11.04,1
35565,0,45.34,20.53,10.9,1
35566,0,41.82,19.6,10.9,1
35567,0,33.22,17.81,10.9,1
35568,0,36.44,16.82,10.9,1
35569,0,49.75,16.45,10.9,1
35570,0,56.8,17.16,10.9,1
35571,0,58.64,19,10.9,1
35572,0,59.21,21.15,10.9,1
35573,0,50.86,21.72,10.9,1
35574,0,40.44,20.13,10.9,1
