JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
 35564.042,   600.000,   171.728,    20.750,     0.000,     0.000,     0.000,     0.250,    79.228,  2106.080,     1.000,    13.247,  -232.606,     0.000,   285.341,   411.102,    81.318,    25.527,     0.000,
 35564.087,   600.000,   171.737,    20.562,     0.000,     0.000,     0.000,     0.250,    79.237,  2106.080,     1.000,    13.246,  -245.809,     0.000,   279.195,   410.220,    84.891,    29.893,     0.000,
 35564.129,   600.000,   171.743,    20.379,     0.000,     0.000,     0.000,     0.250,    79.243,  2106.080,     1.000,    13.226,  -238.609,     0.000,   276.658,   409.196,    77.138,    28.932,     0.000,
 35564.170,   600.000,   171.749,    20.259,     0.000,     0.000,     0.000,     0.250,    79.249,  2106.080,     1.000,    13.208,  -236.494,     0.000,   276.309,   408.450,    75.141,    29.212,     0.000,
 35564.210,   600.000,   171.755,    20.159,     0.000,     0.000,     0.000,     0.250,    79.255,  2106.080,     1.000,    13.192,  -243.676,     0.000,   270.973,   407.882,    75.248,    31.519,     0.000,
 35564.250,   600.000,   171.760,    20.064,     0.000,     0.000,     0.000,     0.250,    79.260,  2106.080,     1.000,    13.179,  -232.526,     0.000,   275.889,   407.344,    72.664,    28.407,     0.000,
 35564.297,   600.000,   171.767,    19.993,     0.000,     0.000,   124.363,     0.250,    79.267,  2106.080,     1.000,    13.174,   -58.637,   117.324,   303.937,   406.909,    60.077,    12.912,     0.000,
 35564.339,   600.000,   171.772,    19.990,     0.000,     0.000,   311.148,     0.250,    79.272,  2106.080,     1.000,    13.177,   134.716,   293.536,   316.015,   406.853,    60.863,     7.119,     0.000,
 35564.380,   600.000,   171.778,    20.058,     0.000,     0.000,   523.738,     0.250,    79.278,  2106.080,     1.000,    13.171,   374.290,   494.092,   338.260,   407.162,    55.138,    -4.238,     0.000,
 35564.420,   573.447,   171.783,    20.221,     0.000,     0.000,   701.930,     0.250,    79.283,  2106.080,     1.000,    13.185,   579.656,   662.198,   362.238,   408.001,    52.372,   -15.594,     0.000,
 35564.460,   512.322,   171.788,    20.457,     0.000,     0.000,   833.517,     0.250,    79.288,  2106.080,     1.000,    13.229,   720.362,   786.337,   376.194,   409.233,    52.941,   -20.005,     0.000,
 35564.500,   480.398,   171.794,    20.738,     0.000,     0.000,   919.700,     0.250,    79.294,  2106.080,     1.000,    13.280,   792.269,   867.642,   378.694,   410.860,    63.487,   -20.280,     0.000,
 35564.543,   545.424,   171.799,    21.046,     0.000,     0.000,   992.645,     0.250,    79.299,  2106.080,     1.000,    13.307,   866.344,   936.457,   383.715,   412.525,    64.821,   -23.518,     0.000,
 35564.585,   600.000,   171.804,    21.346,     0.000,     0.000,   969.222,     0.250,    79.304,  2106.080,     1.000,    13.325,   873.869,   914.360,   404.796,   414.171,    62.983,   -31.867,     0.000,
 35564.630,   585.661,   171.810,    21.628,     0.000,     0.000,   864.742,     0.250,    79.310,  2106.080,     1.000,    13.335,   794.433,   815.794,   421.132,   415.878,    64.283,   -37.667,     0.000,
 35564.668,   444.098,   171.814,    21.784,     0.000,     0.000,   725.437,     0.250,    79.314,  2106.080,     1.000,    13.326,   645.543,   684.375,   415.156,   416.817,    71.701,   -34.530,     0.000,
 35564.709,   441.897,   171.819,    21.892,     0.000,     0.000,   529.114,     0.250,    79.319,  2106.080,     1.000,    13.319,   470.430,   499.164,   421.513,   417.461,    68.528,   -35.742,     0.000,
 35564.753,   535.604,   171.824,    21.930,     0.000,     0.000,   309.103,     0.250,    79.324,  2106.080,     1.000,    13.327,   201.681,   291.607,   387.719,   417.755,    81.501,   -21.611,     0.000,
 35564.794,   599.388,   171.829,    21.851,     0.000,     0.000,   122.188,     0.250,    79.329,  2106.080,     1.000,    13.333,   -34.260,   115.272,   353.421,   417.418,    91.692,    -6.157,     0.000,
 35564.834,   556.481,   171.833,    21.668,     0.000,     0.000,     2.726,     0.250,    79.333,  2106.080,     1.000,    13.325,  -177.112,     2.572,   330.965,   416.457,    89.445,     4.746,     0.000,
 35564.880,   577.636,   171.838,    21.441,     0.000,     0.000,     0.000,     0.250,    79.338,  2106.080,     1.000,    13.320,  -205.516,     0.000,   310.837,   415.151,    86.705,    14.498,     0.000,
 35564.918,   489.236,   171.842,    21.234,     0.000,     0.000,     0.000,     0.250,    79.342,  2106.080,     1.000,    13.324,  -255.371,     0.000,   303.210,   414.030,   118.939,    25.611,     0.000,
 35564.963,   591.252,   171.847,    20.984,     0.000,     0.000,     0.000,     0.250,    79.347,  2106.080,     1.000,    13.344,  -218.505,     0.000,   299.476,   412.602,    86.014,    19.364,     0.000,
 35565.000,   410.617,   171.851,    20.817,     0.000,     0.000,     0.000,     0.250,    79.351,  2106.080,     1.000,    13.365,  -221.856,     0.000,   294.181,   411.584,    81.744,    22.710,     0.000,
 35565.046,   573.904,   171.856,    20.644,     0.000,     0.000,     0.000,     0.250,    79.356,  2106.080,     1.000,    13.396,  -229.596,     0.000,   288.126,   410.637,    80.889,    26.195,     0.000,
